"Anticipation Loss","Method Name","R@10","R@20","R@50","mR@10","mR@20","mR@50","hR@10","hR@20","hR@50","R@10","R@20","R@50","mR@10","mR@20","mR@50","hR@10","hR@20","hR@50","R@10","R@20","R@50","mR@10","mR@20","mR@50","hR@10","hR@20","hR@50"
"1","Baseline","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1","Sgatformer","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1","SgatODE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1","SgatSDE",42.33,43.6,43.6,20.79,22.11,22.11,27.89,29.34,29.34,51.33,62.39,67.5,28.86,43.48,66.12,36.95,51.25,66.8,25.58,25.71,25.71,9.54,9.6,9.6,13.9,13.98,13.98
"3","Baseline",44.26,45.85,45.85,11.86,12.47,12.47,18.7,19.61,19.61,51.21,72.81,82.75,23.04,45.69,66.56,31.78,56.15,73.78,46.4,59.71,62.63,19.13,31.68,34.8,27.09,41.4,44.74
"3","Sgatformer","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3","SgatODE",41.02,42.34,42.34,19.57,20.74,20.74,26.5,27.84,27.84,50.14,61.41,67.25,26.99,39.94,63.37,35.09,48.4,65.25,19.68,19.73,19.73,7.52,7.54,7.54,10.88,10.91,10.91
"3","SgatSDE",41.4,42.65,42.65,20.82,21.65,21.65,27.71,28.73,28.73,51.13,62.03,67.43,28.43,41.08,64.82,36.54,49.42,66.1,19.02,19.08,19.08,8.82,8.84,8.84,12.06,12.09,12.09
"5","Baseline","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"5","Sgatformer",53.02,54.73,54.73,26.45,27.26,27.26,35.29,36.39,36.4,61.71,77.62,83.15,40.0,55.99,72.96,48.54,65.05,77.72,57.92,65.81,66.5,35.46,41.83,42.13,43.99,51.15,51.58
"5","SgatODE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"5","SgatSDE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
