"Anticipation Loss","Method Name","R@10","R@20","R@50","mR@10","mR@20","mR@50","hR@10","hR@20","hR@50","R@10","R@20","R@50","mR@10","mR@20","mR@50","hR@10","hR@20","hR@50","R@10","R@20","R@50","mR@10","mR@20","mR@50","hR@10","hR@20","hR@50"
"1","Baseline","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1","Sgatformer","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1","SgatODE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1","SgatSDE",28.95,29.94,29.94,16.03,16.8,16.8,20.63,21.53,21.53,35.28,42.75,46.83,23.63,33.61,48.81,28.3,37.63,47.8,16.84,16.92,16.92,7.99,8.02,8.02,10.84,10.88,10.88
"3","Baseline",16.47,16.68,16.68,4.69,4.78,4.78,7.31,7.43,7.43,26.73,34.68,37.09,20.47,29.76,37.6,23.19,32.03,37.34,23.23,27.06,27.31,15.21,18.05,18.22,18.38,21.65,21.86
"3","Sgatformer",23.65,23.88,23.88,14.05,14.16,14.16,17.63,17.78,17.78,30.2,35.89,37.4,24.64,30.89,40.65,27.14,33.21,38.96,26.56,28.15,28.2,19.36,20.29,20.33,22.4,23.58,23.62
"3","SgatODE",27.04,27.95,27.95,12.92,13.38,13.38,17.49,18.1,18.1,32.96,40.89,46.45,19.38,27.87,46.87,24.41,33.15,46.66,14.13,14.3,14.31,7.5,7.58,7.58,9.8,9.9,9.91
"3","SgatSDE",28.84,29.86,29.86,14.21,14.74,14.74,19.04,19.73,19.73,34.58,42.0,46.24,21.54,31.73,48.16,26.55,36.15,47.18,15.33,15.4,15.4,6.49,6.53,6.53,9.12,9.17,9.17
"5","Baseline","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"5","Sgatformer","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"5","SgatODE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"5","SgatSDE",28.95,29.93,29.93,14.05,14.57,14.57,18.92,19.6,19.6,34.96,42.53,46.71,20.1,29.38,47.97,25.52,34.76,47.33,13.96,14.04,14.04,5.83,5.87,5.87,8.23,8.28,8.28
