"Mode","Method Name","Train Num Future Frames","Test Num Future Frames","Context Fraction","Status"
"sgdet","baseline_so","1","1","",False
"sgdet","baseline_so","1","2","",False
"sgdet","baseline_so","1","3","",False
"sgdet","baseline_so","1","4","",False
"sgdet","baseline_so","1","5","",False
"sgdet","baseline_so","1","","0.3",False
"sgdet","baseline_so","1","","0.5",False
"sgdet","baseline_so","1","","0.7",False
"sgdet","baseline_so","1","","0.9",False
"sgdet","baseline_so","3","1","",True
"sgdet","baseline_so","3","2","",True
"sgdet","baseline_so","3","3","",True
"sgdet","baseline_so","3","4","",True
"sgdet","baseline_so","3","5","",True
"sgdet","baseline_so","3","","0.3",True
"sgdet","baseline_so","3","","0.5",True
"sgdet","baseline_so","3","","0.7",True
"sgdet","baseline_so","3","","0.9",True
"sgdet","baseline_so","5","1","",False
"sgdet","baseline_so","5","2","",False
"sgdet","baseline_so","5","3","",False
"sgdet","baseline_so","5","4","",False
"sgdet","baseline_so","5","5","",False
"sgdet","baseline_so","5","","0.3",False
"sgdet","baseline_so","5","","0.5",False
"sgdet","baseline_so","5","","0.7",False
"sgdet","baseline_so","5","","0.9",False
"sgdet","baseline_so_gen_loss","1","1","",False
"sgdet","baseline_so_gen_loss","1","2","",False
"sgdet","baseline_so_gen_loss","1","3","",False
"sgdet","baseline_so_gen_loss","1","4","",False
"sgdet","baseline_so_gen_loss","1","5","",False
"sgdet","baseline_so_gen_loss","1","","0.3",False
"sgdet","baseline_so_gen_loss","1","","0.5",False
"sgdet","baseline_so_gen_loss","1","","0.7",False
"sgdet","baseline_so_gen_loss","1","","0.9",False
"sgdet","baseline_so_gen_loss","3","1","",True
"sgdet","baseline_so_gen_loss","3","2","",True
"sgdet","baseline_so_gen_loss","3","3","",True
"sgdet","baseline_so_gen_loss","3","4","",True
"sgdet","baseline_so_gen_loss","3","5","",True
"sgdet","baseline_so_gen_loss","3","","0.3",True
"sgdet","baseline_so_gen_loss","3","","0.5",True
"sgdet","baseline_so_gen_loss","3","","0.7",True
"sgdet","baseline_so_gen_loss","3","","0.9",True
"sgdet","baseline_so_gen_loss","5","1","",False
"sgdet","baseline_so_gen_loss","5","2","",False
"sgdet","baseline_so_gen_loss","5","3","",False
"sgdet","baseline_so_gen_loss","5","4","",False
"sgdet","baseline_so_gen_loss","5","5","",False
"sgdet","baseline_so_gen_loss","5","","0.3",False
"sgdet","baseline_so_gen_loss","5","","0.5",False
"sgdet","baseline_so_gen_loss","5","","0.7",False
"sgdet","baseline_so_gen_loss","5","","0.9",False
"sgdet","ode","1","1","",False
"sgdet","ode","1","2","",False
"sgdet","ode","1","3","",False
"sgdet","ode","1","4","",False
"sgdet","ode","1","5","",False
"sgdet","ode","1","","0.3",False
"sgdet","ode","1","","0.5",False
"sgdet","ode","1","","0.7",False
"sgdet","ode","1","","0.9",False
"sgdet","ode","3","1","",True
"sgdet","ode","3","2","",True
"sgdet","ode","3","3","",True
"sgdet","ode","3","4","",True
"sgdet","ode","3","5","",True
"sgdet","ode","3","","0.3",True
"sgdet","ode","3","","0.5",True
"sgdet","ode","3","","0.7",True
"sgdet","ode","3","","0.9",True
"sgdet","ode","5","1","",False
"sgdet","ode","5","2","",False
"sgdet","ode","5","3","",False
"sgdet","ode","5","4","",False
"sgdet","ode","5","5","",False
