"Mode","Method Name","Train Num Future Frames","Status"
"sgdet","baseline_so","1",False
"sgdet","baseline_so","3",True
"sgdet","baseline_so","5",False
"sgdet","baseline_so_gen_loss","1",False
"sgdet","baseline_so_gen_loss","3",True
"sgdet","baseline_so_gen_loss","5",True
"sgdet","ode","1",False
"sgdet","ode","3",True
"sgdet","ode","5",False
"sgdet","sde","1",True
"sgdet","sde","3",True
"sgdet","sde","5",True
"sgcls","baseline_so","1",False
"sgcls","baseline_so","3",True
"sgcls","baseline_so","5",True
"sgcls","baseline_so_gen_loss","1",True
"sgcls","baseline_so_gen_loss","3",True
"sgcls","baseline_so_gen_loss","5",True
"sgcls","ode","1",False
"sgcls","ode","3",True
"sgcls","ode","5",False
"sgcls","sde","1",True
"sgcls","sde","3",True
"sgcls","sde","5",True
"predcls","baseline_so","1",False
"predcls","baseline_so","3",True
"predcls","baseline_so","5",False
"predcls","baseline_so_gen_loss","1",False
"predcls","baseline_so_gen_loss","3",False
"predcls","baseline_so_gen_loss","5",True
"predcls","ode","1",False
"predcls","ode","3",True
"predcls","ode","5",False
"predcls","sde","1",True
"predcls","sde","3",True
"predcls","sde","5",False
