"Anticipation Loss","Context Fraction","Method Name","hR@10","hR@20","hR@50","hR@10","hR@20","hR@50","hR@10","hR@20","hR@50"
"1","0.3","SgatTran",14.73,15.5,15.5,26.82,46.57,60.92,20.39,27.34,28.03
"1","0.3","SgatFormer",25.54,26.63,26.63,37.14,50.83,61.74,24.32,26.51,26.65
"1","0.3","SgatODE",23.42,25.35,25.39,30.36,44.25,60.56,15.77,16.16,16.16
"1","0.3","SgatSDE",23.4,26.03,26.06,29.89,44.65,62.05,11.34,11.46,11.46
"1","0.5","SgatTran",16.71,17.58,17.58,30.34,52.32,67.49,23.59,32.37,33.29
"1","0.5","SgatFormer",29.64,30.92,30.93,41.54,56.64,68.36,30.2,33.3,33.44
"1","0.5","SgatODE",27.35,29.6,29.63,34.11,49.05,67.49,17.58,17.88,17.88
"1","0.5","SgatSDE",26.4,29.06,29.11,33.09,49.68,68.25,12.44,12.52,12.52
"1","0.7","SgatTran",19.07,19.96,19.96,35.51,60.4,76.49,28.09,38.74,39.68
"1","0.7","SgatFormer",34.87,36.06,36.06,48.69,64.81,77.73,38.06,42.02,42.16
"1","0.7","SgatODE",31.97,34.01,34.01,41.58,59.03,77.67,19.94,20.21,20.21
"1","0.7","SgatSDE",31.2,33.65,33.65,39.95,57.37,78.38,14.25,14.32,14.32
"1","0.9","SgatTran",22.08,22.91,22.92,44.0,69.5,86.66,37.22,48.75,49.91
"1","0.9","SgatFormer",42.68,43.74,43.75,59.08,74.08,87.65,51.3,56.92,57.2
"1","0.9","SgatODE",38.0,39.27,39.28,51.34,69.26,88.1,21.1,21.29,21.29
"1","0.9","SgatSDE",36.46,37.96,37.96,49.78,68.37,90.17,16.3,16.39,16.39
"3","0.3","SgatTran",13.62,14.41,14.42,24.31,43.61,59.86,19.73,28.82,31.07
"3","0.3","SgatFormer",26.37,27.32,27.32,37.35,51.81,61.81,31.14,35.67,36.09
"3","0.3","SgatODE",21.09,22.97,22.99,26.45,39.88,59.59,13.54,14.57,14.75
"3","0.3","SgatSDE",25.09,27.61,27.65,32.28,46.1,61.98,12.31,12.41,12.41
"3","0.5","SgatTran",15.87,16.76,16.76,27.18,48.88,65.52,23.07,35.07,38.09
"3","0.5","SgatFormer",29.68,30.88,30.89,41.11,57.17,68.37,35.92,41.91,42.42
"3","0.5","SgatODE",24.37,26.66,26.73,30.68,44.98,65.77,14.84,15.75,15.84
"3","0.5","SgatSDE",28.38,31.04,31.11,35.32,50.51,68.27,13.42,13.52,13.52
"3","0.7","SgatTran",18.7,19.61,19.61,31.78,56.15,73.78,27.09,41.4,44.74
"3","0.7","SgatFormer",34.83,35.85,35.85,47.99,65.34,77.74,42.77,49.54,50.08
"3","0.7","SgatODE",29.38,31.71,31.76,37.12,54.57,76.12,15.52,15.89,15.93
"3","0.7","SgatSDE",32.91,35.63,35.63,42.07,59.08,78.55,14.97,15.04,15.04
"3","0.9","SgatTran",21.66,22.45,22.45,38.93,63.71,85.19,33.29,48.25,51.63
"3","0.9","SgatFormer",42.07,43.05,43.06,57.55,73.58,87.7,52.3,59.4,60.03
"3","0.9","SgatODE",34.92,36.6,36.6,47.27,64.8,86.21,15.92,15.97,15.97
"3","0.9","SgatSDE",38.68,40.24,40.24,52.16,69.71,90.23,16.48,16.55,16.55
"5","0.3","SgatTran",14.37,15.16,15.16,24.22,43.07,59.4,19.71,28.39,30.79
"5","0.3","SgatFormer",26.4,27.36,27.37,37.76,51.39,61.76,33.28,38.62,39.12
"5","0.3","SgatODE","-","-","-","-","-","-","-","-","-"
"5","0.3","SgatSDE","-","-","-","-","-","-","-","-","-"
"5","0.5","SgatTran",16.41,17.28,17.29,27.03,48.21,65.78,22.54,33.43,36.44
"5","0.5","SgatFormer",30.25,31.45,31.45,41.82,57.16,68.2,37.89,44.39,44.9
"5","0.5","SgatODE","-","-","-","-","-","-","-","-","-"
"5","0.5","SgatSDE","-","-","-","-","-","-","-","-","-"
"5","0.7","SgatTran",18.81,19.68,19.68,31.64,55.59,73.74,26.47,39.75,42.9
"5","0.7","SgatFormer",35.29,36.39,36.4,48.54,65.05,77.72,43.99,51.15,51.58
"5","0.7","SgatODE","-","-","-","-","-","-","-","-","-"
"5","0.7","SgatSDE","-","-","-","-","-","-","-","-","-"
"5","0.9","SgatTran",21.19,21.92,21.92,38.65,63.47,82.85,32.55,46.44,49.66
"5","0.9","SgatFormer",42.59,43.66,43.66,58.19,73.95,87.67,53.19,59.96,60.49
"5","0.9","SgatODE","-","-","-","-","-","-","-","-","-"
"5","0.9","SgatSDE","-","-","-","-","-","-","-","-","-"
