"Anticipation Loss","Context Fraction","Method Name","hR@10","hR@20","hR@50","hR@10","hR@20","hR@50","hR@10","hR@20","hR@50"
"1","0.3","SgatTran",7.64,7.75,7.75,18.92,29.82,37.08,13.99,17.3,17.56
"1","0.3","SgatFormer",16.49,16.63,16.63,26.73,32.58,38.92,16.04,16.61,16.61
"1","0.3","SgatODE",17.61,18.32,18.32,24.39,33.63,46.98,12.19,12.75,12.81
"1","0.3","SgatSDE",20.63,21.53,21.53,28.3,37.63,47.8,10.84,10.88,10.88
"1","0.5","SgatTran",8.47,8.61,8.61,21.2,33.28,40.88,15.63,19.45,19.79
"1","0.5","SgatFormer",18.96,19.17,19.17,30.23,36.46,40.81,19.97,20.77,20.79
"1","0.5","SgatODE",20.4,21.22,21.22,27.72,37.6,50.11,13.07,13.4,13.43
"1","0.5","SgatSDE",23.12,24.1,24.1,30.91,40.76,51.15,12.02,12.05,12.05
"1","0.7","SgatTran",10.08,10.2,10.2,25.71,40.05,47.58,18.72,23.33,23.68
"1","0.7","SgatFormer",22.88,23.06,23.07,35.38,42.06,46.28,26.12,27.15,27.19
"1","0.7","SgatODE",25.06,25.76,25.76,34.21,45.88,57.54,14.63,14.91,14.92
"1","0.7","SgatSDE",27.15,27.93,27.93,36.44,48.11,58.68,13.98,14.06,14.06
"1","0.9","SgatTran",11.79,11.9,11.9,30.56,44.25,52.36,22.73,28.61,29.03
"1","0.9","SgatFormer",27.79,28.01,28.01,40.12,46.63,51.48,35.03,36.74,36.82
"1","0.9","SgatODE",29.1,29.63,29.63,40.76,53.07,63.91,14.91,15.01,15.01
"1","0.9","SgatSDE",30.9,31.47,31.47,42.62,53.98,63.7,15.82,15.9,15.9
"3","0.3","SgatTran",7.31,7.43,7.43,23.19,32.03,37.34,18.38,21.65,21.86
"3","0.3","SgatFormer",17.63,17.78,17.78,27.14,33.21,38.96,22.4,23.58,23.62
"3","0.3","SgatODE",17.49,18.1,18.1,24.41,33.15,46.66,9.8,9.9,9.91
"3","0.3","SgatSDE",19.04,19.73,19.73,26.55,36.15,47.18,9.12,9.17,9.17
"3","0.5","SgatTran",8.19,8.33,8.33,26.11,35.71,41.02,21.47,25.43,25.7
"3","0.5","SgatFormer",20.07,20.27,20.27,30.34,37.12,41.3,25.72,27.22,27.28
"3","0.5","SgatODE",20.05,20.73,20.73,27.22,36.84,49.82,10.39,10.46,10.47
"3","0.5","SgatSDE",21.21,22.12,22.12,29.16,40.07,50.65,9.94,9.98,9.98
"3","0.7","SgatTran",9.45,9.58,9.58,30.07,41.49,47.48,25.31,30.08,30.37
"3","0.7","SgatFormer",23.45,23.64,23.64,35.01,42.45,47.05,30.32,31.95,32.02
"3","0.7","SgatODE",23.11,23.67,23.67,32.19,43.48,56.46,10.93,10.97,10.97
"3","0.7","SgatSDE",24.66,25.49,25.49,34.92,46.76,56.99,11.25,11.3,11.3
"3","0.9","SgatTran",10.68,10.86,10.86,34.72,46.59,53.38,30.18,35.29,35.67
"3","0.9","SgatFormer",27.28,27.48,27.48,40.13,47.67,52.42,35.65,37.6,37.69
"3","0.9","SgatODE",26.07,26.56,26.56,37.69,50.18,62.65,10.47,10.48,10.48
"3","0.9","SgatSDE",27.79,28.3,28.3,40.79,52.97,62.79,12.67,12.74,12.74
"5","0.3","SgatTran",7.4,7.51,7.51,21.69,31.32,37.08,17.35,20.48,20.72
"5","0.3","SgatFormer",16.85,17.0,17.0,27.49,33.3,38.78,23.26,24.76,24.82
"5","0.3","SgatODE",16.99,17.67,17.67,23.01,32.86,46.55,8.9,8.99,8.99
"5","0.3","SgatSDE",18.92,19.6,19.6,25.52,34.76,47.33,8.23,8.28,8.28
"5","0.5","SgatTran",8.28,8.42,8.42,24.52,35.23,41.09,20.27,24.04,24.35
"5","0.5","SgatFormer",19.18,19.36,19.36,30.51,36.84,40.61,26.3,28.14,28.21
"5","0.5","SgatODE",19.22,20.12,20.12,25.56,36.48,50.07,9.49,9.54,9.54
"5","0.5","SgatSDE",21.47,22.22,22.22,28.15,38.68,50.83,9.26,9.3,9.3
"5","0.7","SgatTran",9.61,9.72,9.72,28.58,40.6,47.01,24.19,28.62,28.96
"5","0.7","SgatFormer",22.63,22.83,22.83,34.82,42.11,45.84,30.82,33.01,33.11
"5","0.7","SgatODE",22.69,23.4,23.4,30.39,43.73,56.93,10.46,10.49,10.49
"5","0.7","SgatSDE",24.73,25.37,25.37,33.29,45.18,57.03,10.29,10.37,10.37
"5","0.9","SgatTran",10.73,10.85,10.85,32.3,45.27,52.55,28.14,33.13,33.59
"5","0.9","SgatFormer",26.33,26.54,26.54,40.16,47.29,51.79,36.24,38.43,38.53
"5","0.9","SgatODE",25.2,25.73,25.73,37.06,50.74,63.34,10.71,10.76,10.76
"5","0.9","SgatSDE",27.58,28.11,28.11,39.3,51.87,62.8,11.56,11.62,11.62
