"Anticipation Loss","Context Fraction","Method Name","hR@10","hR@20","hR@50","hR@10","hR@20","hR@50","hR@10","hR@20","hR@50"
"1","0.3","SgatTran",7.28,9.25,9.51,10.17,21.49,36.8,8.47,14.37,18.63
"1","0.3","SgatFormer",15.79,18.47,18.79,19.57,28.61,39.12,13.99,16.96,17.98
"1","0.3","SgatODE",15.94,20.27,21.73,18.84,26.92,39.56,12.49,14.36,15.06
"1","0.3","SgatSDE",16.35,21.0,22.78,18.94,28.6,41.68,9.55,10.15,10.19
"1","0.5","SgatTran",7.77,9.91,10.22,11.01,23.44,38.98,9.36,16.86,22.0
"1","0.5","SgatFormer",17.15,19.99,20.37,20.96,30.27,41.19,16.4,20.16,21.61
"1","0.5","SgatODE",17.9,22.96,24.48,20.98,30.02,44.15,13.67,15.29,15.78
"1","0.5","SgatSDE",17.26,22.51,24.17,20.04,29.74,44.67,9.92,10.62,10.67
"1","0.7","SgatTran",8.78,11.3,11.63,12.24,26.09,42.59,11.08,20.59,27.09
"1","0.7","SgatFormer",18.91,22.23,22.65,23.32,33.57,45.33,20.37,25.41,27.4
"1","0.7","SgatODE",20.63,25.26,27.02,24.54,34.27,48.02,14.14,15.26,15.49
"1","0.7","SgatSDE",19.72,24.77,26.65,23.31,33.46,48.61,10.76,11.34,11.38
"1","0.9","SgatTran",9.92,12.89,13.36,14.09,28.63,45.65,13.14,25.0,33.98
"1","0.9","SgatFormer",23.2,27.17,27.8,26.8,37.85,49.36,26.14,34.34,38.4
"1","0.9","SgatODE",23.67,28.89,30.36,28.82,39.66,53.95,14.73,15.67,15.73
"1","0.9","SgatSDE",21.62,27.2,28.83,26.37,37.02,52.59,11.65,12.41,12.45
"3","0.3","SgatTran",9.9,11.96,12.23,15.38,25.7,37.51,14.27,21.54,25.43
"3","0.3","SgatFormer",16.92,19.71,20.08,20.75,29.26,38.92,19.58,25.34,28.3
"3","0.3","SgatODE",14.48,18.69,20.32,16.92,24.82,38.11,11.56,13.73,15.28
"3","0.3","SgatSDE",15.68,20.63,22.65,19.5,27.79,41.66,11.99,13.13,13.24
"3","0.5","SgatTran",10.59,12.88,13.22,16.75,27.79,40.34,15.63,24.14,29.04
"3","0.5","SgatFormer",18.34,21.5,21.99,22.25,31.08,41.52,21.41,28.04,31.73
"3","0.5","SgatODE",16.02,20.73,22.3,18.53,27.03,41.8,11.72,13.57,14.65
"3","0.5","SgatSDE",17.05,22.48,24.17,20.71,30.4,44.92,12.57,13.79,13.96
"3","0.7","SgatTran",11.41,13.98,14.32,17.79,29.95,43.67,17.35,27.43,33.15
"3","0.7","SgatFormer",20.58,24.17,24.68,23.86,33.7,44.94,23.41,31.37,35.59
"3","0.7","SgatODE",17.99,22.63,24.42,21.77,31.07,46.3,11.98,13.19,13.55
"3","0.7","SgatSDE",19.19,24.19,26.15,23.47,33.74,49.66,13.54,14.59,14.7
"3","0.9","SgatTran",12.08,14.91,15.4,19.04,31.62,47.24,18.51,29.49,36.57
"3","0.9","SgatFormer",23.03,27.18,27.9,25.35,36.32,48.58,25.28,34.51,39.81
"3","0.9","SgatODE",19.82,25.03,26.58,23.98,34.99,50.84,11.52,12.23,12.33
"3","0.9","SgatSDE",21.09,26.56,28.48,26.71,37.79,53.19,14.74,16.02,16.16
"5","0.3","SgatTran",6.66,8.64,8.9,11.83,22.77,35.32,11.19,19.79,25.61
"5","0.3","SgatFormer",17.41,20.17,20.54,20.52,28.97,38.92,19.86,25.98,29.44
"5","0.3","SgatODE",15.35,19.39,20.79,18.08,26.12,39.9,10.75,11.81,11.94
"5","0.3","SgatSDE",15.5,20.53,22.4,19.2,27.51,41.18,10.81,11.67,11.75
"5","0.5","SgatTran",7.04,9.21,9.53,12.64,24.51,38.05,12.04,21.84,28.63
"5","0.5","SgatFormer",18.54,21.66,22.13,21.86,30.61,41.53,21.39,28.17,32.21
"5","0.5","SgatODE",16.33,21.11,22.61,19.11,27.93,43.63,11.07,12.21,12.33
"5","0.5","SgatSDE",16.74,21.54,23.62,20.39,29.38,44.14,11.48,12.37,12.46
"5","0.7","SgatTran",7.98,10.46,10.8,13.19,26.43,41.02,12.79,24.09,32.12
"5","0.7","SgatFormer",20.42,23.91,24.4,23.4,33.17,44.92,23.19,31.2,35.72
"5","0.7","SgatODE",18.5,23.15,24.73,21.88,31.41,47.53,11.28,12.15,12.28
"5","0.7","SgatSDE",18.41,23.61,25.42,23.02,32.56,48.27,12.67,13.57,13.62
"5","0.9","SgatTran",8.67,11.49,11.94,13.97,27.58,43.97,13.56,25.38,34.57
"5","0.9","SgatFormer",22.46,26.57,27.21,25.1,35.67,48.44,25.02,34.07,39.53
"5","0.9","SgatODE",20.22,24.8,26.32,24.36,34.55,51.69,10.89,11.49,11.57
"5","0.9","SgatSDE",20.17,25.11,27.08,25.58,35.76,52.25,13.39,14.39,14.53
