"Anticipation Loss","Context Fraction","Method Name","mR@10","mR@20","mR@50","mR@10","mR@20","mR@50","mR@10","mR@20","mR@50"
"1","0.3","SgatTran",9.71,10.23,10.23,20.47,39.15,57.3,14.53,19.98,20.54
"1","0.3","SgatFormer",18.89,19.77,19.78,30.5,43.93,58.65,18.49,20.36,20.48
"1","0.3","SgatODE",17.12,18.66,18.69,23.42,36.48,57.12,11.47,11.75,11.75
"1","0.3","SgatSDE",16.73,18.97,18.99,22.21,36.13,59.21,7.61,7.69,7.69
"1","0.5","SgatTran",11.02,11.61,11.61,23.18,43.85,62.65,16.89,23.97,24.74
"1","0.5","SgatFormer",22.1,23.15,23.15,33.81,48.54,63.99,23.15,25.83,25.93
"1","0.5","SgatODE",20.03,21.86,21.89,25.99,39.72,62.89,12.69,12.9,12.9
"1","0.5","SgatSDE",18.9,21.11,21.16,24.41,39.96,63.8,8.36,8.41,8.41
"1","0.7","SgatTran",12.55,13.17,13.17,27.2,50.76,71.05,20.33,29.12,29.91
"1","0.7","SgatFormer",26.08,27.01,27.02,39.78,55.42,72.99,29.44,32.83,32.93
"1","0.7","SgatODE",23.3,24.97,24.97,31.94,48.68,72.98,14.25,14.44,14.44
"1","0.7","SgatSDE",22.42,24.5,24.5,29.71,46.14,74.04,9.56,9.6,9.6
"1","0.9","SgatTran",14.54,15.13,15.13,34.19,58.63,81.21,28.12,38.17,39.22
"1","0.9","SgatFormer",32.51,33.36,33.36,48.99,63.46,82.76,41.62,46.67,46.9
"1","0.9","SgatODE",27.87,28.88,28.89,39.55,57.45,83.42,14.91,15.04,15.04
"1","0.9","SgatSDE",26.43,27.68,27.68,37.61,56.15,87.11,11.02,11.09,11.09
"3","0.3","SgatTran",8.67,9.2,9.21,17.64,35.51,55.51,13.74,21.29,23.32
"3","0.3","SgatFormer",19.69,20.38,20.38,31.04,45.39,58.7,24.77,28.7,29.06
"3","0.3","SgatODE",15.1,16.59,16.61,19.63,31.59,55.79,9.71,10.48,10.61
"3","0.3","SgatSDE",18.35,20.51,20.54,24.61,37.77,59.01,8.65,8.72,8.72
"3","0.5","SgatTran",10.07,10.68,10.68,19.69,39.7,59.39,16.18,26.46,29.27
"3","0.5","SgatFormer",22.02,22.94,22.94,33.66,49.37,63.96,28.48,33.76,34.16
"3","0.5","SgatODE",17.39,19.24,19.31,22.78,35.22,60.25,10.57,11.31,11.38
"3","0.5","SgatSDE",20.74,23.01,23.08,26.61,40.75,63.77,9.39,9.46,9.46
"3","0.7","SgatTran",11.86,12.47,12.47,23.04,45.69,66.56,19.13,31.68,34.8
"3","0.7","SgatFormer",25.91,26.63,26.63,39.41,56.4,72.98,34.16,40.06,40.49
"3","0.7","SgatODE",20.96,22.89,22.94,27.29,43.21,70.46,10.73,11.01,11.04
"3","0.7","SgatSDE",24.08,26.47,26.47,31.9,48.04,74.25,10.4,10.45,10.45
"3","0.9","SgatTran",13.76,14.3,14.31,28.58,51.49,78.74,23.96,37.35,40.63
"3","0.9","SgatFormer",31.75,32.51,32.52,47.61,63.04,82.81,42.59,48.88,49.43
"3","0.9","SgatODE",24.96,26.37,26.37,35.04,51.72,80.2,10.8,10.84,10.84
"3","0.9","SgatSDE",28.47,29.8,29.81,40.03,57.71,87.2,11.36,11.41,11.41
"5","0.3","SgatTran",9.1,9.63,9.64,17.41,34.75,54.76,13.55,20.65,22.78
"5","0.3","SgatFormer",19.59,20.29,20.29,31.43,44.69,58.62,26.79,31.51,31.94
"5","0.3","SgatODE","-","-","-","-","-","-","-","-","-"
"5","0.3","SgatSDE","-","-","-","-","-","-","-","-","-"
"5","0.5","SgatTran",10.39,10.98,10.98,19.36,38.74,59.88,15.53,24.63,27.35
"5","0.5","SgatFormer",22.53,23.45,23.46,34.42,49.32,63.66,30.42,36.24,36.63
"5","0.5","SgatODE","-","-","-","-","-","-","-","-","-"
"5","0.5","SgatSDE","-","-","-","-","-","-","-","-","-"
"5","0.7","SgatTran",11.9,12.49,12.49,22.75,44.96,66.55,18.41,29.88,32.75
"5","0.7","SgatFormer",26.45,27.26,27.26,40.0,55.99,72.96,35.46,41.83,42.13
"5","0.7","SgatODE","-","-","-","-","-","-","-","-","-"
"5","0.7","SgatSDE","-","-","-","-","-","-","-","-","-"
"5","0.9","SgatTran",13.42,13.92,13.92,28.17,51.23,74.92,23.15,35.47,38.56
"5","0.9","SgatFormer",32.46,33.32,33.32,48.25,63.45,82.75,43.59,49.6,50.07
"5","0.9","SgatODE","-","-","-","-","-","-","-","-","-"
"5","0.9","SgatSDE","-","-","-","-","-","-","-","-","-"
