"Anticipation Loss","Context Fraction","Method Name","mR@10","mR@20","mR@50","mR@10","mR@20","mR@50","mR@10","mR@20","mR@50"
"1","0.3","SgatTran",4.93,5.01,5.01,15.18,26.56,36.66,10.31,12.92,13.12
"1","0.3","SgatFormer",13.42,13.53,13.53,24.6,30.3,40.82,13.59,14.03,14.04
"1","0.3","SgatODE",13.56,14.12,14.12,20.33,29.4,47.72,9.56,9.99,10.03
"1","0.3","SgatSDE",16.03,16.8,16.8,23.63,33.61,48.81,7.99,8.02,8.02
"1","0.5","SgatTran",5.46,5.56,5.56,17.06,29.69,40.19,11.56,14.62,14.87
"1","0.5","SgatFormer",15.26,15.43,15.43,27.69,33.82,40.26,16.87,17.5,17.51
"1","0.5","SgatODE",15.72,16.4,16.4,22.96,32.58,48.83,10.02,10.26,10.28
"1","0.5","SgatSDE",18.03,18.9,18.9,25.63,35.71,50.06,8.83,8.85,8.85
"1","0.7","SgatTran",6.49,6.57,6.58,20.81,35.98,46.32,13.8,17.58,17.87
"1","0.7","SgatFormer",18.18,18.33,18.33,31.95,38.53,44.67,21.86,22.64,22.68
"1","0.7","SgatODE",19.17,19.77,19.77,28.0,39.84,55.29,10.96,11.19,11.19
"1","0.7","SgatSDE",20.96,21.64,21.64,30.0,42.3,57.11,10.21,10.28,10.28
"1","0.9","SgatTran",7.61,7.68,7.68,25.29,39.52,50.79,17.35,22.55,22.92
"1","0.9","SgatFormer",22.64,22.82,22.83,36.36,42.69,50.13,30.98,32.31,32.39
"1","0.9","SgatODE",22.14,22.57,22.57,33.08,46.21,61.4,10.84,10.93,10.93
"1","0.9","SgatSDE",23.92,24.42,24.42,35.1,47.37,60.94,11.63,11.7,11.7
"3","0.3","SgatTran",4.69,4.78,4.78,20.47,29.76,37.6,15.21,18.05,18.22
"3","0.3","SgatFormer",14.05,14.16,14.16,24.64,30.89,40.65,19.36,20.29,20.33
"3","0.3","SgatODE",12.92,13.38,13.38,19.38,27.87,46.87,7.5,7.58,7.58
"3","0.3","SgatSDE",14.21,14.74,14.74,21.54,31.73,48.16,6.49,6.53,6.53
"3","0.5","SgatTran",5.27,5.36,5.36,23.21,33.17,40.81,18.17,21.67,21.88
"3","0.5","SgatFormer",16.09,16.24,16.24,27.54,34.64,40.96,22.45,23.61,23.66
"3","0.5","SgatODE",14.93,15.45,15.46,21.59,30.79,48.0,7.84,7.9,7.9
"3","0.5","SgatSDE",15.82,16.56,16.57,23.51,34.96,49.58,7.07,7.1,7.1
"3","0.7","SgatTran",6.06,6.15,6.15,26.64,38.58,47.34,21.52,25.81,26.06
"3","0.7","SgatFormer",18.65,18.79,18.79,31.56,39.21,46.12,26.37,27.59,27.66
"3","0.7","SgatODE",16.9,17.33,17.33,25.18,36.2,53.1,8.01,8.03,8.03
"3","0.7","SgatSDE",18.35,19.05,19.05,28.29,40.85,54.85,7.96,8.0,8.0
"3","0.9","SgatTran",6.83,6.96,6.96,30.84,43.05,53.18,26.19,30.76,31.08
"3","0.9","SgatFormer",21.74,21.9,21.91,36.15,43.98,51.26,31.4,32.89,32.99
"3","0.9","SgatODE",18.97,19.37,19.37,29.35,42.22,59.23,7.45,7.45,7.45
"3","0.9","SgatSDE",20.65,21.07,21.07,32.85,46.01,59.76,8.95,9.0,9.0
"5","0.3","SgatTran",4.74,4.82,4.82,18.33,28.48,36.81,13.76,16.34,16.54
"5","0.3","SgatFormer",13.07,13.19,13.19,25.27,31.15,40.57,20.41,21.58,21.63
"5","0.3","SgatODE",12.25,12.76,12.76,17.35,26.99,46.33,6.18,6.24,6.24
"5","0.3","SgatSDE",14.05,14.57,14.57,20.1,29.38,47.97,5.83,5.87,5.87
"5","0.5","SgatTran",5.31,5.4,5.4,20.93,32.27,40.55,16.46,19.66,19.92
"5","0.5","SgatFormer",15.0,15.14,15.14,28.12,34.44,40.12,23.22,24.69,24.75
"5","0.5","SgatODE",13.9,14.64,14.64,19.31,29.93,48.28,6.54,6.58,6.58
"5","0.5","SgatSDE",16.04,16.61,16.61,22.09,32.68,49.48,6.6,6.63,6.63
"5","0.7","SgatTran",6.16,6.24,6.24,24.39,36.94,45.96,19.78,23.62,23.91
"5","0.7","SgatFormer",17.77,17.92,17.92,31.67,39.08,44.5,27.31,29.07,29.17
"5","0.7","SgatODE",16.34,16.93,16.93,22.92,36.25,54.08,7.1,7.13,7.13
"5","0.7","SgatSDE",18.38,18.89,18.89,26.17,38.3,54.54,7.25,7.31,7.31
"5","0.9","SgatTran",6.88,6.97,6.97,27.6,41.22,51.7,23.57,28.07,28.52
"5","0.9","SgatFormer",20.74,20.92,20.92,36.34,43.36,50.2,32.39,34.05,34.15
"5","0.9","SgatODE",18.15,18.58,18.58,28.52,42.75,60.3,7.22,7.25,7.25
"5","0.9","SgatSDE",20.45,20.88,20.88,31.2,44.5,59.68,8.14,8.2,8.2
