"Anticipation Loss","Context Fraction","Method Name","R@10","R@20","R@50","R@10","R@20","R@50","R@10","R@20","R@50"
"1","0.3","SgatTran",16.94,17.12,17.12,25.09,33.98,37.51,21.74,26.18,26.54
"1","0.3","SgatFormer",21.37,21.57,21.57,29.27,35.23,37.2,19.57,20.34,20.35
"1","0.3","SgatODE",25.1,26.06,26.06,30.49,39.28,46.26,16.84,17.64,17.72
"1","0.3","SgatSDE",28.95,29.94,29.94,35.28,42.75,46.83,16.84,16.92,16.92
"1","0.5","SgatTran",18.87,19.1,19.1,28.0,37.87,41.59,24.15,29.08,29.55
"1","0.5","SgatFormer",25.03,25.31,25.31,33.28,39.55,41.36,24.47,25.54,25.56
"1","0.5","SgatODE",29.04,30.03,30.03,34.96,44.46,51.46,18.8,19.32,19.37
"1","0.5","SgatSDE",32.24,33.27,33.27,38.95,47.47,52.28,18.82,18.88,18.88
"1","0.7","SgatTran",22.58,22.76,22.76,33.64,45.16,48.9,29.06,34.68,35.13
"1","0.7","SgatFormer",30.84,31.09,31.09,39.64,46.3,48.01,32.44,33.89,33.93
"1","0.7","SgatODE",36.17,36.95,36.95,43.97,54.09,59.97,22.02,22.34,22.35
"1","0.7","SgatSDE",38.51,39.35,39.35,46.42,55.78,60.34,22.15,22.25,22.25
"1","0.9","SgatTran",26.21,26.38,26.38,38.61,50.26,54.02,32.94,39.1,39.6
"1","0.9","SgatFormer",35.98,36.25,36.25,44.76,51.35,52.91,40.29,42.58,42.65
"1","0.9","SgatODE",42.42,43.1,43.1,53.07,62.31,66.63,23.84,23.96,23.96
"1","0.9","SgatSDE",43.64,44.25,44.25,54.25,62.73,66.72,24.71,24.82,24.82
"3","0.3","SgatTran",16.47,16.68,16.68,26.73,34.68,37.09,23.23,27.06,27.31
"3","0.3","SgatFormer",23.65,23.88,23.88,30.2,35.89,37.4,26.56,28.15,28.2
"3","0.3","SgatODE",27.04,27.95,27.95,32.96,40.89,46.45,14.13,14.3,14.31
"3","0.3","SgatSDE",28.84,29.86,29.86,34.58,42.0,46.24,15.33,15.4,15.4
"3","0.5","SgatTran",18.44,18.68,18.68,29.84,38.66,41.23,26.25,30.78,31.12
"3","0.5","SgatFormer",26.66,26.96,26.96,33.77,39.98,41.65,30.11,32.14,32.21
"3","0.5","SgatODE",30.54,31.46,31.47,36.83,45.86,51.78,15.4,15.49,15.51
"3","0.5","SgatSDE",32.19,33.26,33.27,38.39,46.93,51.77,16.71,16.76,16.76
"3","0.7","SgatTran",21.38,21.59,21.59,34.5,44.88,47.62,30.74,36.04,36.38
"3","0.7","SgatFormer",31.58,31.85,31.85,39.31,46.26,48.02,35.67,37.94,38.0
"3","0.7","SgatODE",36.52,37.31,37.31,44.63,54.43,60.28,17.23,17.28,17.28
"3","0.7","SgatSDE",37.62,38.49,38.49,45.62,54.65,59.3,19.17,19.22,19.22
"3","0.9","SgatTran",24.4,24.64,24.64,39.72,50.76,53.59,35.61,41.39,41.84
"3","0.9","SgatFormer",36.62,36.88,36.88,45.09,52.05,53.63,41.22,43.87,43.95
"3","0.9","SgatODE",41.64,42.23,42.23,52.66,61.84,66.48,17.64,17.65,17.65
"3","0.9","SgatSDE",42.46,43.09,43.09,53.78,62.41,66.15,21.7,21.79,21.79
"5","0.3","SgatTran",16.86,17.07,17.07,26.57,34.8,37.36,23.5,27.43,27.7
"5","0.3","SgatFormer",23.7,23.92,23.92,30.14,35.78,37.15,27.04,29.04,29.11
"5","0.3","SgatODE",27.72,28.68,28.68,34.13,41.99,46.77,15.91,16.02,16.02
"5","0.3","SgatSDE",28.95,29.93,29.93,34.96,42.53,46.71,13.96,14.04,14.04
"5","0.5","SgatTran",18.79,19.04,19.04,29.61,38.79,41.64,26.36,30.93,31.3
"5","0.5","SgatFormer",26.58,26.84,26.84,33.36,39.59,41.1,30.31,32.71,32.8
"5","0.5","SgatODE",31.11,32.15,32.15,37.77,46.72,51.99,17.3,17.36,17.36
"5","0.5","SgatSDE",32.48,33.53,33.54,38.81,47.4,52.26,15.53,15.57,15.57
"5","0.7","SgatTran",21.83,22.03,22.03,34.5,45.06,48.12,31.12,36.32,36.7
"5","0.7","SgatFormer",31.17,31.44,31.44,38.65,45.65,47.27,35.36,38.19,38.3
"5","0.7","SgatODE",37.09,37.86,37.86,45.06,55.09,60.08,19.83,19.87,19.87
"5","0.7","SgatSDE",37.77,38.61,38.61,45.72,55.08,59.75,17.71,17.78,17.78
"5","0.9","SgatTran",24.33,24.53,24.53,38.93,50.2,53.44,34.9,40.42,40.85
"5","0.9","SgatFormer",36.03,36.29,36.29,44.9,52.01,53.49,41.12,44.09,44.2
"5","0.9","SgatODE",41.21,41.81,41.81,52.9,62.41,66.7,20.75,20.79,20.79
"5","0.9","SgatSDE",42.34,42.98,42.98,53.09,62.17,66.26,19.89,19.95,19.95
