"Anticipation Loss","Context Fraction","Method Name","R@10","R@20","R@50","R@10","R@20","R@50","R@10","R@20","R@50"
"1","0.3","SgatTran",16.49,20.8,21.35,14.4,25.56,41.54,13.76,21.94,29.16
"1","0.3","SgatFormer",22.6,26.73,27.27,22.37,32.55,43.1,18.95,23.74,25.51
"1","0.3","SgatODE",23.48,29.59,31.68,24.14,33.62,45.83,17.52,20.26,21.25
"1","0.3","SgatSDE",25.27,31.64,34.01,26.11,35.95,47.77,16.8,17.97,18.06
"1","0.5","SgatTran",17.78,22.48,23.13,15.39,27.45,44.08,14.76,24.17,32.52
"1","0.5","SgatFormer",24.15,28.71,29.37,23.75,34.44,45.73,21.46,27.37,29.82
"1","0.5","SgatODE",26.3,33.32,35.47,27.09,37.41,50.81,19.33,21.9,22.65
"1","0.5","SgatSDE",27.41,34.2,36.43,28.64,38.79,51.6,17.91,19.21,19.32
"1","0.7","SgatTran",20.31,25.85,26.56,16.89,30.49,49.03,16.49,27.78,38.03
"1","0.7","SgatFormer",26.97,32.4,33.09,26.1,38.12,51.0,25.14,32.83,36.22
"1","0.7","SgatODE",30.51,36.77,39.09,32.59,42.91,55.45,21.01,22.79,23.14
"1","0.7","SgatSDE",31.23,38.06,40.31,33.17,43.65,56.76,19.85,20.94,21.03
"1","0.9","SgatTran",23.03,29.5,30.5,18.14,32.37,52.6,17.88,30.6,43.64
"1","0.9","SgatFormer",30.84,37.5,38.58,28.43,41.71,55.68,28.27,39.23,45.96
"1","0.9","SgatODE",35.64,42.41,44.65,38.33,49.73,61.93,22.83,24.31,24.43
"1","0.9","SgatSDE",34.45,41.63,43.94,37.34,48.35,61.23,21.56,22.87,22.95
"3","0.3","SgatTran",18.08,22.41,22.99,17.24,28.12,41.92,16.8,25.81,32.0
"3","0.3","SgatFormer",22.35,27.19,27.82,21.59,31.34,42.99,21.38,29.11,33.63
"3","0.3","SgatODE",23.05,29.17,31.44,23.27,32.5,45.11,16.87,20.06,21.8
"3","0.3","SgatSDE",25.02,31.66,34.26,25.89,34.99,47.42,18.7,20.72,20.95
"3","0.5","SgatTran",19.43,24.19,24.88,18.52,30.06,44.87,18.04,28.12,35.59
"3","0.5","SgatFormer",24.31,29.7,30.48,23.12,33.46,45.95,22.83,31.6,37.19
"3","0.5","SgatODE",25.92,32.64,34.77,26.43,36.6,49.83,18.27,21.15,22.27
"3","0.5","SgatSDE",27.32,34.75,36.95,28.43,38.63,51.44,19.94,22.07,22.38
"3","0.7","SgatTran",21.16,26.53,27.23,19.75,32.87,49.54,19.67,31.45,40.14
"3","0.7","SgatFormer",27.41,33.43,34.26,25.05,36.82,50.81,25.08,35.54,42.15
"3","0.7","SgatODE",30.26,36.56,38.88,32.06,42.77,55.65,20.3,22.28,22.84
"3","0.7","SgatSDE",31.38,38.01,40.47,33.29,44.04,56.42,21.94,23.81,24.03
"3","0.9","SgatTran",22.69,28.67,29.73,20.83,34.39,53.16,20.65,33.24,43.79
"3","0.9","SgatFormer",30.32,37.15,38.41,26.46,39.53,54.88,26.56,38.52,47.09
"3","0.9","SgatODE",33.9,40.4,42.64,36.63,48.34,61.31,20.56,21.81,21.98
"3","0.9","SgatSDE",34.77,41.92,44.11,37.34,48.61,61.57,24.23,26.25,26.52
"5","0.3","SgatTran",16.12,20.55,21.12,15.09,26.21,41.25,14.83,24.75,33.54
"5","0.3","SgatFormer",22.57,27.27,27.9,21.64,31.34,43.09,21.69,29.92,35.39
"5","0.3","SgatODE",25.28,31.32,33.25,26.28,35.53,47.9,17.81,19.73,19.97
"5","0.3","SgatSDE",25.16,32.02,34.3,26.48,35.76,47.46,17.75,19.38,19.53
"5","0.5","SgatTran",17.15,22.0,22.69,16.08,27.97,44.13,15.81,26.5,36.48
"5","0.5","SgatFormer",24.19,29.44,30.21,23.22,33.4,46.05,23.22,32.23,38.54
"5","0.5","SgatODE",27.53,34.39,36.49,28.55,38.67,52.13,19.18,21.27,21.5
"5","0.5","SgatSDE",27.72,34.34,36.76,28.72,38.97,51.35,19.2,20.83,21.01
"5","0.7","SgatTran",19.48,25.03,25.78,17.11,30.56,48.63,16.99,29.16,40.82
"5","0.7","SgatFormer",27.01,32.84,33.63,25.21,36.78,50.97,25.41,35.85,43.04
"5","0.7","SgatODE",31.43,37.88,39.9,33.62,44.14,56.81,20.55,22.12,22.31
"5","0.7","SgatSDE",31.3,38.2,40.38,33.44,44.1,56.69,21.32,23.04,23.13
"5","0.9","SgatTran",20.86,27.1,28.11,17.75,31.8,51.91,17.66,30.43,43.83
"5","0.9","SgatFormer",29.48,36.16,37.29,26.86,39.4,55.04,26.98,38.55,47.34
"5","0.9","SgatODE",34.74,40.77,42.89,38.07,48.89,61.87,21.06,22.24,22.38
"5","0.9","SgatSDE",34.61,41.13,43.4,37.82,48.36,61.65,22.94,24.68,24.92
