"Anticipation Loss","Context Fraction","Method Name","hR@10","hR@20","hR@50","hR@10","hR@20","hR@50","hR@10","hR@20","hR@50"
"1","1","SgatTran",21.97,23.37,23.38,37.61,65.24,82.74,34.29,51.28,53.54
"1","1","SgatFormer",43.86,45.77,45.78,54.81,71.68,83.98,51.44,60.43,61.17
"1","1","SgatODE",37.36,39.59,39.61,48.37,66.23,85.86,19.26,19.42,19.42
"1","1","SgatSDE",36.55,39.13,39.16,47.54,65.92,87.08,16.43,16.53,16.53
"1","2","SgatTran",21.34,22.72,22.73,36.92,64.23,81.76,33.23,49.33,51.44
"1","2","SgatFormer",42.59,44.48,44.49,53.82,70.68,82.95,50.01,58.69,59.39
"1","2","SgatODE",37.07,39.01,39.03,47.57,65.21,84.85,19.59,19.76,19.76
"1","2","SgatSDE",36.1,38.34,38.37,46.3,64.47,85.92,16.17,16.27,16.27
"1","3","SgatTran",20.85,22.2,22.21,36.29,63.29,80.81,32.09,47.23,49.17
"1","3","SgatFormer",41.32,43.17,43.18,52.84,69.72,82.04,48.47,56.75,57.39
"1","3","SgatODE",36.5,38.36,38.39,46.73,64.3,83.91,19.78,19.97,19.97
"1","3","SgatSDE",35.47,37.58,37.62,45.29,63.27,84.76,15.92,16.02,16.02
"1","4","SgatTran",20.45,21.76,21.77,35.72,62.45,79.95,31.06,45.33,47.12
"1","4","SgatFormer",40.11,41.93,41.93,51.89,68.78,81.18,46.78,54.66,55.24
"1","4","SgatODE",35.87,37.71,37.73,45.93,63.4,82.96,19.88,20.08,20.08
"1","4","SgatSDE",34.82,36.87,36.9,44.35,62.18,83.67,15.69,15.79,15.79
"1","5","SgatTran",20.09,21.37,21.38,35.18,61.64,79.12,30.14,43.71,45.38
"1","5","SgatFormer",38.98,40.77,40.78,50.95,67.85,80.39,45.1,52.53,53.05
"1","5","SgatODE",35.24,37.06,37.08,45.13,62.48,81.95,19.92,20.13,20.13
"1","5","SgatSDE",34.18,36.2,36.23,43.44,61.16,82.61,15.49,15.59,15.59
"3","1","SgatTran",21.2,22.57,22.58,32.43,59.01,81.33,29.51,46.76,51.61
"3","1","SgatFormer",42.55,44.45,44.46,53.84,71.2,83.86,50.95,60.74,61.81
"3","1","SgatODE",34.8,37.12,37.16,44.37,62.01,85.0,15.17,15.23,15.23
"3","1","SgatSDE",38.09,40.83,40.86,48.86,66.85,87.04,16.39,16.48,16.48
"3","2","SgatTran",20.85,22.19,22.2,32.04,58.52,80.19,29.1,46.25,51.03
"3","2","SgatFormer",41.45,43.27,43.28,52.79,70.31,82.93,49.81,59.48,60.57
"3","2","SgatODE",34.44,36.53,36.57,43.31,60.81,83.83,15.15,15.21,15.22
"3","2","SgatSDE",37.74,40.09,40.12,47.78,65.48,85.91,16.19,16.28,16.28
"3","3","SgatTran",20.55,21.87,21.88,31.69,57.94,79.2,28.67,45.56,50.23
"3","3","SgatFormer",40.4,42.15,42.16,51.82,69.41,82.01,48.71,58.23,59.31
"3","3","SgatODE",33.89,35.91,35.95,42.39,59.77,82.78,15.13,15.21,15.21
"3","3","SgatSDE",37.17,39.39,39.42,46.84,64.33,84.78,16.01,16.1,16.1
"3","4","SgatTran",20.23,21.52,21.53,31.36,57.34,78.33,28.23,44.8,49.34
"3","4","SgatFormer",39.42,41.1,41.11,50.91,68.53,81.15,47.67,56.99,58.04
"3","4","SgatODE",33.27,35.26,35.3,41.51,58.83,81.75,15.1,15.19,15.19
"3","4","SgatSDE",36.56,38.71,38.74,45.98,63.3,83.71,15.83,15.93,15.93
"3","5","SgatTran",19.88,21.15,21.15,31.01,56.72,77.53,27.77,44.01,48.43
"3","5","SgatFormer",38.51,40.14,40.14,50.04,67.69,80.32,46.68,55.8,56.83
"3","5","SgatODE",32.66,34.63,34.67,40.69,57.91,80.73,15.07,15.18,15.18
"3","5","SgatSDE",35.95,38.07,38.1,45.16,62.31,82.66,15.69,15.79,15.79
"5","1","SgatTran",21.03,22.32,22.33,32.49,58.49,80.68,28.63,43.9,48.32
"5","1","SgatFormer",43.32,45.25,45.26,54.39,71.47,83.87,51.54,60.93,61.86
"5","1","SgatODE","-","-","-","-","-","-","-","-","-"
"5","1","SgatSDE","-","-","-","-","-","-","-","-","-"
"5","2","SgatTran",20.58,21.85,21.85,32.01,57.77,79.65,28.31,43.73,48.19
"5","2","SgatFormer",42.22,44.08,44.09,53.44,70.52,82.89,50.52,59.89,60.83
"5","2","SgatODE","-","-","-","-","-","-","-","-","-"
"5","2","SgatSDE","-","-","-","-","-","-","-","-","-"
"5","3","SgatTran",20.26,21.5,21.51,31.64,57.11,78.68,27.97,43.22,47.64
"5","3","SgatFormer",41.16,42.97,42.98,52.51,69.58,81.96,49.53,58.79,59.73
"5","3","SgatODE","-","-","-","-","-","-","-","-","-"
"5","3","SgatSDE","-","-","-","-","-","-","-","-","-"
"5","4","SgatTran",19.98,21.2,21.2,31.31,56.47,77.78,27.62,42.63,46.95
"5","4","SgatFormer",40.17,41.93,41.93,51.62,68.68,81.07,48.57,57.71,58.63
"5","4","SgatODE","-","-","-","-","-","-","-","-","-"
"5","4","SgatSDE","-","-","-","-","-","-","-","-","-"
"5","5","SgatTran",19.72,20.91,20.91,30.97,55.85,76.96,27.23,41.96,46.2
"5","5","SgatFormer",39.24,40.96,40.97,50.76,67.78,80.23,47.64,56.64,57.54
"5","5","SgatODE","-","-","-","-","-","-","-","-","-"
"5","5","SgatSDE","-","-","-","-","-","-","-","-","-"
