"Anticipation Loss","Context Fraction","Method Name","hR@10","hR@20","hR@50","hR@10","hR@20","hR@50","hR@10","hR@20","hR@50"
"1","1","SgatTran",12.81,13.1,13.1,29.43,44.42,54.24,24.69,32.16,32.9
"1","1","SgatFormer",30.22,30.59,30.59,40.84,48.82,55.58,38.18,41.17,41.29
"1","1","SgatODE",29.0,29.79,29.79,39.06,51.35,63.0,14.03,14.11,14.11
"1","1","SgatSDE",30.43,31.28,31.28,40.57,52.37,63.11,15.52,15.59,15.59
"1","2","SgatTran",12.29,12.56,12.56,28.66,43.4,53.08,23.07,29.93,30.6
"1","2","SgatFormer",29.27,29.62,29.62,40.06,47.65,54.42,37.12,39.87,39.98
"1","2","SgatODE",28.6,29.36,29.36,38.21,50.61,62.19,14.11,14.19,14.19
"1","2","SgatSDE",29.93,30.73,30.74,39.48,51.48,62.28,15.29,15.36,15.36
"1","3","SgatTran",11.84,12.09,12.09,27.98,42.56,52.17,21.88,28.26,28.87
"1","3","SgatFormer",28.43,28.76,28.76,39.35,46.74,53.14,36.09,38.64,38.74
"1","3","SgatODE",28.16,28.9,28.91,37.51,49.95,61.48,14.15,14.24,14.25
"1","3","SgatSDE",29.41,30.21,30.21,38.63,50.73,61.55,15.06,15.14,15.14
"1","4","SgatTran",11.46,11.7,11.7,27.37,41.81,51.32,21.02,27.03,27.6
"1","4","SgatFormer",27.64,27.96,27.96,38.67,45.91,52.14,34.99,37.34,37.42
"1","4","SgatODE",27.69,28.44,28.44,36.81,49.26,60.78,14.16,14.25,14.25
"1","4","SgatSDE",29.44,30.21,30.21,38.32,50.63,61.55,15.06,15.14,15.14
"1","5","SgatTran",11.14,11.36,11.36,26.83,41.13,50.54,20.36,26.08,26.61
"1","5","SgatFormer",26.89,27.2,27.2,38.04,45.17,51.28,33.73,35.87,35.94
"1","5","SgatODE",27.22,27.96,27.96,36.13,48.57,60.11,14.14,14.24,14.24
"1","5","SgatSDE",29.44,30.21,30.21,38.24,50.62,61.55,15.06,15.13,15.13
"3","1","SgatTran",11.39,11.65,11.65,33.91,47.05,54.87,30.47,37.28,37.8
"3","1","SgatFormer",29.79,30.16,30.16,40.88,48.74,55.7,37.73,40.51,40.62
"3","1","SgatODE",25.27,25.97,25.97,34.32,46.84,61.22,8.56,8.56,8.56
"3","1","SgatSDE",27.85,28.63,28.63,38.39,50.78,62.48,12.72,12.78,12.78
"3","2","SgatTran",11.09,11.33,11.33,33.33,46.17,53.69,29.78,36.32,36.81
"3","2","SgatFormer",28.83,29.17,29.17,40.0,47.87,54.61,36.76,39.44,39.55
"3","2","SgatODE",25.13,25.8,25.8,33.78,46.3,60.48,8.86,8.86,8.86
"3","2","SgatSDE",27.4,28.13,28.13,37.34,49.94,61.63,12.52,12.58,12.58
"3","3","SgatTran",10.83,11.07,11.07,32.81,45.43,52.73,29.16,35.44,35.89
"3","3","SgatFormer",27.98,28.31,28.31,39.22,47.04,53.36,35.89,38.48,38.59
"3","3","SgatODE",24.9,25.55,25.55,33.35,45.76,59.81,9.13,9.14,9.14
"3","3","SgatSDE",26.95,27.67,27.67,36.57,49.26,60.88,12.34,12.4,12.4
"3","4","SgatTran",10.62,10.84,10.84,32.33,44.75,51.88,28.57,34.63,35.06
"3","4","SgatFormer",27.23,27.54,27.54,38.51,46.31,52.4,35.11,37.61,37.71
"3","4","SgatODE",24.92,25.55,25.55,33.03,45.7,59.8,9.13,9.14,9.14
"3","4","SgatSDE",26.98,27.67,27.67,36.22,49.2,60.88,12.34,12.4,12.4
"3","5","SgatTran",10.42,10.64,10.64,31.88,44.1,51.11,28.03,33.89,34.29
"3","5","SgatFormer",26.56,26.85,26.85,37.85,45.63,51.57,34.39,36.79,36.89
"3","5","SgatODE",24.92,25.55,25.55,32.96,45.69,59.8,9.15,9.16,9.16
"3","5","SgatSDE",26.98,27.68,27.68,36.14,49.2,60.88,12.37,12.43,12.43
"5","1","SgatTran",11.44,11.7,11.7,31.75,45.63,54.42,28.14,34.18,34.71
"5","1","SgatFormer",29.52,29.89,29.89,40.52,48.71,55.18,38.14,41.44,41.6
"5","1","SgatODE",24.41,25.18,25.18,33.41,47.34,61.86,9.79,9.81,9.81
"5","1","SgatSDE",27.62,28.33,28.33,37.44,49.96,62.66,11.5,11.55,11.55
"5","2","SgatTran",11.13,11.37,11.37,31.25,44.85,53.33,27.77,33.7,34.21
"5","2","SgatFormer",28.45,28.8,28.8,39.66,47.7,54.02,37.18,40.4,40.56
"5","2","SgatODE",24.25,25.01,25.01,32.75,46.72,61.1,9.93,9.95,9.95
"5","2","SgatSDE",27.19,27.87,27.87,36.36,49.08,61.78,11.37,11.43,11.43
"5","3","SgatTran",10.88,11.11,11.11,30.79,44.1,52.4,27.32,33.08,33.58
"5","3","SgatFormer",27.56,27.89,27.89,38.89,46.9,52.72,36.35,39.47,39.63
"5","3","SgatODE",24.02,24.77,24.77,32.22,46.18,60.4,10.0,10.03,10.03
"5","3","SgatSDE",26.77,27.45,27.45,35.56,48.34,61.04,11.22,11.28,11.28
"5","4","SgatTran",10.67,10.88,10.88,30.35,43.44,51.55,26.82,32.43,32.91
"5","4","SgatFormer",26.78,27.09,27.09,38.23,46.17,51.75,35.6,38.62,38.76
"5","4","SgatODE",23.75,24.49,24.49,31.73,45.6,59.7,10.03,10.06,10.06
"5","4","SgatSDE",26.79,27.45,27.45,35.21,48.26,61.03,11.22,11.28,11.28
"5","5","SgatTran",10.47,10.67,10.67,29.92,42.82,50.78,26.3,31.76,32.21
"5","5","SgatFormer",26.08,26.38,26.38,37.61,45.5,50.91,34.9,37.82,37.96
"5","5","SgatODE",23.47,24.2,24.2,31.23,45.01,59.06,10.04,10.08,10.08
"5","5","SgatSDE",26.78,27.45,27.45,35.15,48.25,61.03,11.2,11.26,11.26
