"Anticipation Loss","Context Fraction","Method Name","hR@10","hR@20","hR@50","hR@10","hR@20","hR@50","hR@10","hR@20","hR@50"
"1","1","SgatTran",9.67,12.95,13.59,14.27,27.61,45.03,13.98,25.79,36.09
"1","1","SgatFormer",23.11,27.99,28.92,25.94,36.72,49.1,25.77,35.08,41.08
"1","1","SgatODE",23.22,28.21,29.8,27.47,38.05,52.51,14.01,14.78,14.85
"1","1","SgatSDE",21.88,27.04,28.72,25.78,36.89,52.19,11.76,12.41,12.45
"1","2","SgatTran",9.51,12.61,13.19,13.91,27.43,44.71,13.47,25.07,34.63
"1","2","SgatFormer",22.57,27.17,28.0,25.8,36.42,48.5,25.55,34.39,39.75
"1","2","SgatODE",23.12,28.0,29.55,26.92,37.53,52.02,14.07,14.87,14.93
"1","2","SgatSDE",21.76,26.8,28.42,25.23,36.27,51.69,11.66,12.3,12.34
"1","3","SgatTran",9.45,12.46,12.99,13.58,27.15,44.33,12.96,24.13,33.05
"1","3","SgatFormer",22.03,26.38,27.13,25.6,36.07,47.91,25.2,33.6,38.38
"1","3","SgatODE",22.88,27.74,29.28,26.55,37.1,51.55,14.07,14.88,14.96
"1","3","SgatSDE",21.55,26.53,28.13,24.8,35.8,51.2,11.55,12.19,12.23
"1","4","SgatTran",9.32,12.23,12.73,13.28,26.87,44.0,12.52,23.29,31.7
"1","4","SgatFormer",21.53,25.67,26.37,25.33,35.68,47.42,24.73,32.64,36.92
"1","4","SgatODE",22.6,27.42,28.97,26.19,36.66,51.08,14.03,14.87,14.96
"1","4","SgatSDE",21.65,26.57,28.13,24.66,35.65,51.13,11.55,12.19,12.23
"1","5","SgatTran",9.16,11.99,12.46,13.02,26.62,43.67,12.16,22.59,30.57
"1","5","SgatFormer",21.05,25.02,25.68,25.01,35.29,46.96,24.09,31.53,35.37
"1","5","SgatODE",22.31,27.12,28.67,25.82,36.24,50.62,14.02,14.88,14.97
"1","5","SgatSDE",21.65,26.57,28.13,24.65,35.65,51.13,11.58,12.22,12.26
"3","1","SgatTran",11.65,14.92,15.57,18.33,30.64,46.94,17.98,28.81,36.95
"3","1","SgatFormer",23.14,28.07,28.99,25.05,35.57,48.69,24.94,34.36,41.15
"3","1","SgatODE",19.86,24.8,26.57,23.48,33.46,49.55,10.56,11.15,11.21
"3","1","SgatSDE",20.96,26.25,28.09,25.98,36.63,51.98,14.38,15.46,15.59
"3","2","SgatTran",11.67,14.79,15.38,18.37,30.64,46.36,18.03,28.75,36.52
"3","2","SgatFormer",22.79,27.43,28.25,24.95,35.34,48.03,24.83,34.03,40.41
"3","2","SgatODE",19.81,24.72,26.42,23.18,33.17,49.36,10.84,11.49,11.56
"3","2","SgatSDE",20.88,26.05,27.85,25.41,36.1,51.5,14.3,15.38,15.51
"3","3","SgatTran",11.63,14.65,15.19,18.31,30.5,45.87,17.95,28.54,35.99
"3","3","SgatFormer",22.42,26.85,27.61,24.76,35.04,47.46,24.62,33.66,39.72
"3","3","SgatODE",19.66,24.53,26.2,22.94,32.89,49.07,11.05,11.75,11.84
"3","3","SgatSDE",20.69,25.82,27.62,25.02,35.65,51.07,14.21,15.3,15.43
"3","4","SgatTran",11.58,14.52,15.03,18.23,30.37,45.42,17.83,28.3,35.46
"3","4","SgatFormer",22.09,26.37,27.08,24.6,34.78,46.97,24.44,33.31,39.11
"3","4","SgatODE",19.73,24.58,26.2,22.79,32.77,49.02,11.05,11.75,11.84
"3","4","SgatSDE",20.78,25.86,27.62,24.85,35.5,51.02,14.21,15.3,15.43
"3","5","SgatTran",11.52,14.4,14.88,18.13,30.21,45.01,17.71,28.03,34.94
"3","5","SgatFormer",21.79,25.94,26.62,24.43,34.51,46.52,24.24,32.96,38.53
"3","5","SgatODE",19.73,24.58,26.2,22.78,32.77,49.02,11.06,11.76,11.85
"3","5","SgatSDE",20.78,25.86,27.63,24.84,35.49,51.02,14.23,15.32,15.46
"5","1","SgatTran",8.55,11.76,12.39,13.7,26.58,43.2,13.51,25.05,34.91
"5","1","SgatFormer",22.51,27.29,28.21,24.92,35.17,48.5,24.87,33.96,40.61
"5","1","SgatODE",19.13,23.82,25.28,22.44,32.16,48.58,9.17,9.63,9.68
