"Anticipation Loss","Context Fraction","Method Name","mR@10","mR@20","mR@50","mR@10","mR@20","mR@50","mR@10","mR@20","mR@50"
"1","1","SgatTran",14.48,15.44,15.45,28.77,54.16,74.88,25.91,40.9,42.92
"1","1","SgatFormer",33.66,35.14,35.14,45.19,60.91,76.72,42.11,50.15,50.75
"1","1","SgatODE",27.06,28.89,28.91,36.49,53.6,79.7,13.39,13.5,13.5
"1","1","SgatSDE",26.39,28.6,28.63,35.56,53.17,81.74,11.09,11.16,11.16
"1","2","SgatTran",14.03,14.98,14.99,28.17,53.27,74.11,24.92,38.95,40.84
"1","2","SgatFormer",32.57,34.03,34.04,44.29,60.07,75.88,40.74,48.52,49.08
"1","2","SgatODE",27.02,28.53,28.55,36.17,52.88,78.93,13.69,13.81,13.81
"1","2","SgatSDE",26.16,28.0,28.03,34.69,51.9,80.72,10.91,10.98,10.98
"1","3","SgatTran",13.69,14.62,14.63,27.64,52.49,73.38,23.88,36.86,38.58
"1","3","SgatFormer",31.46,32.91,32.91,43.4,59.27,75.2,39.24,46.64,47.16
"1","3","SgatODE",26.68,28.09,28.11,35.65,52.25,78.26,13.88,14.02,14.02
"1","3","SgatSDE",25.73,27.43,27.46,33.96,50.89,79.67,10.74,10.81,10.81
"1","4","SgatTran",13.42,14.33,14.33,27.18,51.8,72.75,22.94,35.03,36.59
"1","4","SgatFormer",30.42,31.84,31.85,42.55,58.49,74.6,37.57,44.58,45.05
"1","4","SgatODE",26.27,27.64,27.66,35.14,51.62,77.54,14.0,14.14,14.14
"1","4","SgatSDE",25.26,26.89,26.92,33.25,49.99,78.71,10.58,10.65,10.65
"1","5","SgatTran",13.19,14.07,14.07,26.74,51.16,72.15,22.13,33.5,34.94
"1","5","SgatFormer",29.45,30.86,30.86,41.7,57.71,74.06,35.91,42.48,42.91
"1","5","SgatODE",25.83,27.18,27.2,34.6,50.94,76.69,14.07,14.21,14.21
"1","5","SgatSDE",24.79,26.38,26.41,32.56,49.15,77.78,10.45,10.51,10.51
"3","1","SgatTran",13.4,14.32,14.32,23.11,46.83,72.65,20.77,35.68,40.2
"3","1","SgatFormer",32.31,33.77,33.78,44.35,60.51,76.48,41.59,50.34,51.22
"3","1","SgatODE",24.59,26.5,26.53,32.24,48.45,78.28,10.16,10.2,10.2
"3","1","SgatSDE",27.77,30.17,30.2,36.84,54.21,81.67,11.26,11.33,11.33
"3","2","SgatTran",13.16,14.06,14.07,22.85,46.58,71.64,20.5,35.36,39.81
"3","2","SgatFormer",31.38,32.77,32.77,43.44,59.86,75.81,40.56,49.22,50.13
"3","2","SgatODE",24.44,26.09,26.13,31.55,47.5,77.23,10.16,10.21,10.21
"3","2","SgatSDE",27.66,29.63,29.65,36.17,53.03,80.69,11.14,11.2,11.2
"3","3","SgatTran",12.97,13.86,13.87,22.61,46.21,70.81,20.19,34.83,39.18
"3","3","SgatFormer",30.51,31.83,31.83,42.61,59.17,75.13,39.58,48.1,49.01
"3","3","SgatODE",24.09,25.66,25.7,30.9,46.69,76.37,10.18,10.23,10.23
"3","3","SgatSDE",27.3,29.1,29.13,35.52,52.07,79.69,11.02,11.09,11.09
"3","4","SgatTran",12.77,13.64,13.65,22.39,45.81,70.17,19.86,34.22,38.45
"3","4","SgatFormer",29.69,30.95,30.95,41.84,58.49,74.51,38.65,46.99,47.87
"3","4","SgatODE",23.67,25.2,25.24,30.28,45.98,75.52,10.18,10.25,10.25
"3","4","SgatSDE",26.87,28.6,28.63,34.91,51.23,78.76,10.91,10.98,10.98
"3","5","SgatTran",12.55,13.41,13.41,22.16,45.38,69.61,19.52,33.57,37.69
"3","5","SgatFormer",28.94,30.15,30.16,41.1,57.83,73.92,37.77,45.91,46.77
"3","5","SgatODE",23.25,24.76,24.8,29.71,45.28,74.64,10.19,10.27,10.27
"3","5","SgatSDE",26.44,28.12,28.15,34.31,50.43,77.83,10.82,10.89,10.89
"5","1","SgatTran",13.26,14.12,14.13,22.92,46.25,71.72,19.75,32.72,36.74
"5","1","SgatFormer",33.32,34.83,34.84,44.96,60.81,76.5,42.21,50.58,51.36
"5","1","SgatODE","-","-","-","-","-","-","-","-","-"
"5","1","SgatSDE","-","-","-","-","-","-","-","-","-"
"5","2","SgatTran",12.96,13.81,13.81,22.62,45.7,70.86,19.6,32.73,36.81
"5","2","SgatFormer",32.4,33.84,33.85,44.17,60.08,75.74,41.37,49.73,50.52
"5","2","SgatODE","-","-","-","-","-","-","-","-","-"
"5","2","SgatSDE","-","-","-","-","-","-","-","-","-"
"5","3","SgatTran",12.76,13.59,13.59,22.38,45.2,70.08,19.39,32.38,36.42
"5","3","SgatFormer",31.51,32.91,32.91,43.4,59.33,75.04,40.53,48.8,49.57
"5","3","SgatODE","-","-","-","-","-","-","-","-","-"
"5","3","SgatSDE","-","-","-","-","-","-","-","-","-"
"5","4","SgatTran",12.59,13.4,13.4,22.16,44.75,69.38,19.15,31.93,35.9
"5","4","SgatFormer",30.67,32.02,32.03,42.65,58.62,74.37,39.7,47.87,48.63
"5","4","SgatODE","-","-","-","-","-","-","-","-","-"
"5","4","SgatSDE","-","-","-","-","-","-","-","-","-"
"5","5","SgatTran",12.42,13.22,13.22,21.94,44.3,68.77,18.88,31.4,35.28
"5","5","SgatFormer",29.88,31.2,31.2,41.91,57.89,73.76,38.88,46.93,47.67
"5","5","SgatODE","-","-","-","-","-","-","-","-","-"
"5","5","SgatSDE","-","-","-","-","-","-","-","-","-"
