"Anticipation Loss","Context Fraction","Method Name","mR@10","mR@20","mR@50","mR@10","mR@20","mR@50","mR@10","mR@20","mR@50"
"1","1","SgatTran",8.22,8.42,8.42,24.11,39.04,51.78,19.32,25.89,26.5
"1","1","SgatFormer",24.57,24.86,24.86,36.56,44.01,54.07,33.91,36.19,36.28
"1","1","SgatODE",21.75,22.39,22.39,31.09,44.0,60.3,9.9,9.96,9.96
"1","1","SgatSDE",23.43,24.15,24.15,33.1,45.63,60.61,11.26,11.32,11.32
"1","2","SgatTran",7.89,8.08,8.08,23.43,38.19,50.84,17.69,23.56,24.11
"1","2","SgatFormer",23.81,24.07,24.07,35.89,42.95,53.12,32.92,35.04,35.12
"1","2","SgatODE",21.53,22.13,22.13,30.61,43.47,59.59,10.04,10.1,10.1
"1","2","SgatSDE",23.09,23.75,23.75,32.3,44.89,59.87,11.11,11.16,11.16
"1","3","SgatTran",7.6,7.78,7.78,22.83,37.49,50.12,16.55,21.9,22.39
"1","3","SgatFormer",23.1,23.35,23.35,35.29,42.17,51.71,31.94,33.9,33.97
"1","3","SgatODE",21.26,21.84,21.84,30.2,43.0,58.98,10.13,10.2,10.2
"1","3","SgatSDE",22.71,23.35,23.35,31.67,44.25,59.24,10.95,11.01,11.01
"1","4","SgatTran",7.36,7.52,7.52,22.3,36.86,49.43,15.76,20.73,21.19
"1","4","SgatFormer",22.44,22.67,22.67,34.73,41.48,50.75,30.83,32.63,32.7
"1","4","SgatODE",20.96,21.53,21.53,29.74,42.49,58.41,10.2,10.27,10.27
"1","4","SgatSDE",22.75,23.35,23.35,31.49,44.16,59.24,10.95,11.01,11.01
"1","5","SgatTran",7.15,7.3,7.3,21.83,36.29,48.78,15.18,19.86,20.29
"1","5","SgatFormer",21.79,22.02,22.02,34.19,40.86,49.94,29.49,31.13,31.18
"1","5","SgatODE",20.64,21.21,21.21,29.27,41.95,57.85,10.24,10.32,10.32
"1","5","SgatSDE",22.75,23.35,23.35,31.44,44.16,59.24,10.95,11.01,11.01
"3","1","SgatTran",7.28,7.45,7.45,29.77,42.62,52.94,26.15,32.17,32.59
"3","1","SgatFormer",23.93,24.21,24.21,36.45,43.74,54.11,33.03,35.13,35.23
"3","1","SgatODE",18.19,18.73,18.73,25.95,38.33,57.46,5.83,5.83,5.83
"3","1","SgatSDE",20.71,21.33,21.34,30.59,43.62,59.94,8.97,9.02,9.02
"3","2","SgatTran",7.08,7.24,7.24,29.28,41.94,51.95,25.55,31.34,31.73
"3","2","SgatFormer",23.14,23.39,23.39,35.72,43.17,53.29,32.2,34.25,34.35
"3","2","SgatODE",18.18,18.69,18.69,25.73,38.03,56.87,6.12,6.12,6.12
"3","2","SgatSDE",20.4,20.97,20.97,29.79,42.95,59.18,8.84,8.88,8.88
"3","3","SgatTran",6.92,7.08,7.08,28.86,41.37,51.13,25.0,30.54,30.91
"3","3","SgatFormer",22.42,22.67,22.67,35.06,42.53,51.94,31.44,33.43,33.53
"3","3","SgatODE",18.07,18.57,18.57,25.54,37.68,56.34,6.37,6.37,6.37
"3","3","SgatSDE",20.07,20.63,20.64,29.22,42.41,58.52,8.72,8.76,8.76
"3","4","SgatTran",6.79,6.94,6.94,28.45,40.85,50.43,24.47,29.81,30.15
"3","4","SgatFormer",21.79,22.01,22.01,34.45,41.97,51.03,30.76,32.67,32.76
"3","4","SgatODE",18.1,18.57,18.57,25.33,37.63,56.34,6.37,6.37,6.37
"3","4","SgatSDE",20.11,20.63,20.64,28.96,42.35,58.52,8.72,8.76,8.76
"3","5","SgatTran",6.66,6.81,6.81,28.07,40.32,49.8,23.97,29.12,29.45
"3","5","SgatFormer",21.21,21.43,21.43,33.89,41.44,50.26,30.12,31.95,32.04
"3","5","SgatODE",18.1,18.57,18.57,25.29,37.63,56.34,6.38,6.39,6.39
"3","5","SgatSDE",20.12,20.64,20.64,28.91,42.36,58.52,8.74,8.78,8.78
"5","1","SgatTran",7.31,7.48,7.48,26.81,40.52,52.02,23.08,28.22,28.66
