"Anticipation Loss","Context Fraction","Method Name","mR@10","mR@20","mR@50","mR@10","mR@20","mR@50","mR@10","mR@20","mR@50"
"1","1","SgatTran",6.15,8.26,8.67,11.89,24.72,39.38,11.52,22.37,30.03
"1","1","SgatFormer",18.76,22.17,22.81,24.95,33.87,43.81,24.61,31.86,35.75
"1","1","SgatODE",17.39,21.34,22.6,21.82,31.47,46.58,10.23,10.78,10.82
"1","1","SgatSDE",16.01,20.09,21.44,19.87,30.05,46.16,8.09,8.52,8.55
"1","2","SgatTran",6.04,8.04,8.41,11.45,24.47,39.23,10.91,21.45,28.51
"1","2","SgatFormer",18.23,21.44,22.02,24.7,33.51,43.37,24.25,31.03,34.49
"1","2","SgatODE",17.44,21.25,22.45,21.54,31.17,46.19,10.33,10.9,10.94
"1","2","SgatSDE",16.03,19.95,21.21,19.52,29.59,45.72,8.02,8.45,8.48
"1","3","SgatTran",6.01,7.95,8.29,11.07,24.12,38.97,10.33,20.29,26.85
"1","3","SgatFormer",17.72,20.75,21.27,24.4,33.1,42.9,23.74,30.09,33.14
"1","3","SgatODE",17.33,21.09,22.27,21.34,30.9,45.81,10.37,10.95,11.0
"1","3","SgatSDE",15.91,19.77,21.0,19.22,29.24,45.28,7.95,8.38,8.41
"1","4","SgatTran",5.93,7.8,8.12,10.74,23.81,38.76,9.85,19.32,25.47
"1","4","SgatFormer",17.24,20.13,20.62,24.01,32.66,42.53,23.04,28.94,31.66
"1","4","SgatODE",17.15,20.87,22.05,21.11,30.57,45.4,10.38,10.97,11.03
"1","4","SgatSDE",16.06,19.82,21.0,19.17,29.15,45.22,7.95,8.38,8.41
"1","5","SgatTran",5.83,7.65,7.96,10.47,23.53,38.54,9.47,18.55,24.36
"1","5","SgatFormer",16.77,19.55,20.01,23.56,32.21,42.17,22.11,27.59,30.03
"1","5","SgatODE",16.96,20.66,21.84,20.86,30.25,45.01,10.39,11.01,11.07
"1","5","SgatSDE",16.06,19.82,21.0,19.16,29.14,45.22,7.97,8.4,8.43
"3","1","SgatTran",7.91,10.04,10.46,16.76,28.23,41.79,16.25,25.77,31.36
"3","1","SgatFormer",18.96,22.37,22.99,24.14,32.86,43.37,23.92,31.31,35.75
"3","1","SgatODE",14.02,17.81,19.22,17.33,25.87,42.17,7.24,7.65,7.69
"3","1","SgatSDE",15.13,19.28,20.77,20.2,29.91,45.91,10.36,11.09,11.18
"3","2","SgatTran",7.94,9.97,10.35,16.82,28.23,41.3,16.31,25.74,31.07
"3","2","SgatFormer",18.6,21.81,22.37,24.05,32.61,42.83,23.81,30.99,35.15
"3","2","SgatODE",14.07,17.81,19.15,17.25,25.79,42.17,7.48,7.93,7.98
"3","2","SgatSDE",15.16,19.17,20.59,19.85,29.55,45.55,10.31,11.05,11.14
"3","3","SgatTran",7.92,9.89,10.24,16.77,28.11,40.91,16.22,25.54,30.66
"3","3","SgatFormer",18.27,21.32,21.83,23.88,32.34,42.39,23.61,30.64,34.58
"3","3","SgatODE",14.02,17.71,19.01,17.17,25.65,42.02,7.67,8.16,8.22
"3","3","SgatSDE",15.06,19.02,20.43,19.58,29.22,45.19,10.26,11.0,11.09
"3","4","SgatTran",7.9,9.81,10.14,16.69,28.0,40.55,16.1,25.3,30.22
"3","4","SgatFormer",17.97,20.9,21.38,23.75,32.11,42.01,23.42,30.3,34.07
"3","4","SgatODE",14.12,17.76,19.01,17.1,25.59,41.99,7.67,8.16,8.22
"3","4","SgatSDE",15.19,19.07,20.43,19.5,29.13,45.17,10.26,11.0,11.09
"3","5","SgatTran",7.87,9.74,10.05,16.59,27.87,40.23,15.98,25.03,29.77
"3","5","SgatFormer",17.71,20.55,21.0,23.58,31.89,41.66,23.21,29.96,33.58
"3","5","SgatODE",14.12,17.76,19.01,17.1,25.59,42.0,7.68,8.17,8.23
"3","5","SgatSDE",15.19,19.07,20.43,19.5,29.13,45.17,10.27,11.01,11.1
"5","1","SgatTran",5.38,7.43,7.83,11.19,23.23,36.87,10.94,21.34,28.56
"5","1","SgatFormer",18.42,21.72,22.35,23.64,32.16,42.99,23.35,30.45,34.8
"5","1","SgatODE",13.27,16.84,17.97,16.21,24.31,40.72,5.97,6.28,6.31
"5","1","SgatSDE",13.94,17.9,19.36,18.48,27.29,43.92,9.12,9.72,9.78
"5","2","SgatTran",5.21,7.15,7.51,11.3,23.38,36.7,11.05,21.49,28.53
"5","2","SgatFormer",18.07,21.19,21.75,23.48,31.91,42.54,23.17,30.13,34.27
"5","2","SgatODE",13.52,17.1,18.22,16.22,24.45,40.85,6.3,6.65,6.69
"5","2","SgatSDE",13.95,17.84,19.26,18.27,26.99,43.58,9.1,9.72,9.78
"5","3","SgatTran",5.11,6.99,7.32,11.29,23.39,36.47,11.01,21.41,28.29
"5","3","SgatFormer",17.79,20.76,21.27,23.29,31.66,42.14,22.95,29.78,33.75
"5","3","SgatODE",13.6,17.18,18.29,16.21,24.53,40.92,6.56,6.94,6.98
"5","3","SgatSDE",13.87,17.75,19.15,18.09,26.75,43.27,9.07,9.68,9.75
"5","4","SgatTran",5.04,6.87,7.19,11.24,23.35,36.26,10.93,21.29,27.99
"5","4","SgatFormer",17.54,20.4,20.88,23.12,31.42,41.79,22.76,29.47,33.29
"5","4","SgatODE",13.6,17.18,18.29,16.19,24.55,40.93,6.75,7.15,7.2
"5","4","SgatSDE",13.94,17.79,19.15,18.04,26.64,43.24,9.06,9.68,9.75
"5","5","SgatTran",4.99,6.77,7.07,11.17,23.28,36.03,10.83,21.12,27.66
"5","5","SgatFormer",17.32,20.1,20.54,22.94,31.18,41.45,22.56,29.13,32.83
"5","5","SgatODE",13.57,17.15,18.25,16.15,24.53,40.89,6.88,7.31,7.37
"5","5","SgatSDE",13.94,17.79,19.15,18.04,26.64,43.24,9.08,9.7,9.77
