"Anticipation Loss","Context Fraction","Method Name","R@10","R@20","R@50","R@10","R@20","R@50","R@10","R@20","R@50"
"1","1","SgatTran",45.52,48.02,48.03,54.29,82.02,92.45,50.67,68.72,71.14
"1","1","SgatFormer",62.92,65.64,65.65,69.65,87.06,92.77,66.1,75.99,76.99
"1","1","SgatODE",60.34,62.86,62.87,71.73,86.66,93.06,34.32,34.59,34.59
"1","1","SgatSDE",59.44,61.91,61.92,71.68,86.69,93.16,31.65,31.83,31.83
"1","2","SgatTran",44.55,47.0,47.01,53.55,80.85,91.16,49.83,67.25,69.5
"1","2","SgatFormer",61.53,64.18,64.19,68.58,85.84,91.48,64.75,74.27,75.19
"1","2","SgatODE",59.0,61.66,61.67,69.48,85.03,91.74,34.44,34.74,34.74
"1","2","SgatSDE",58.21,60.76,60.78,69.57,85.05,91.84,31.19,31.37,31.37
"1","3","SgatTran",43.68,46.06,46.08,52.82,79.7,89.92,48.94,65.7,67.78
"1","3","SgatFormer",60.16,62.74,62.75,67.53,84.63,90.24,63.36,72.47,73.3
"1","3","SgatODE",57.74,60.47,60.48,67.78,83.56,90.45,34.41,34.73,34.73
"1","3","SgatSDE",57.08,59.68,59.69,67.98,83.61,90.55,30.75,30.93,30.93
"1","4","SgatTran",42.89,45.22,45.23,52.1,78.6,88.73,48.06,64.22,66.16
"1","4","SgatFormer",58.86,61.36,61.37,66.48,83.45,89.05,61.98,70.64,71.39
"1","4","SgatODE",56.56,59.31,59.33,66.27,82.14,89.19,34.26,34.61,34.61
"1","4","SgatSDE",56.0,58.63,58.65,66.57,82.23,89.3,30.32,30.5,30.5
"1","5","SgatTran",42.17,44.45,44.46,51.4,77.55,87.58,47.23,62.89,64.72
"1","5","SgatFormer",57.63,60.06,60.07,65.46,82.31,87.91,60.62,68.81,69.49
"1","5","SgatODE",55.45,58.23,58.24,64.86,80.78,87.97,34.13,34.48,34.48
"1","5","SgatSDE",55.0,57.65,57.66,65.25,80.93,88.09,29.97,30.15,30.15
"3","1","SgatTran",50.79,53.27,53.28,54.35,79.75,92.36,50.9,67.81,72.07
"3","1","SgatFormer",62.27,65.0,65.01,68.49,86.46,92.81,65.76,76.55,77.92
"3","1","SgatODE",59.53,61.98,62.0,71.12,86.12,92.99,29.93,30.03,30.03
"3","1","SgatSDE",60.6,63.14,63.15,72.52,87.19,93.17,30.04,30.2,30.2
"3","2","SgatTran",50.14,52.56,52.58,53.62,78.69,91.07,50.15,66.86,71.04
"3","2","SgatFormer",61.02,63.68,63.69,67.29,85.18,91.53,64.5,75.14,76.51
"3","2","SgatODE",58.31,60.89,60.91,69.07,84.48,91.66,29.75,29.86,29.86
"3","2","SgatSDE",59.35,62.0,62.02,70.37,85.58,91.85,29.62,29.78,29.78
"3","3","SgatTran",49.43,51.8,51.82,52.95,77.65,89.83,49.45,65.86,69.95
"3","3","SgatFormer",59.79,62.38,62.4,66.12,83.93,90.29,63.3,73.75,75.09
"3","3","SgatODE",57.15,59.79,59.8,67.45,83.02,90.37,29.48,29.6,29.6
"3","3","SgatSDE",58.21,60.93,60.94,68.75,84.15,90.57,29.23,29.39,29.39
"3","4","SgatTran",48.62,50.95,50.96,52.29,76.62,88.63,48.77,64.86,68.84
"3","4","SgatFormer",58.63,61.16,61.17,65.01,82.74,89.09,62.17,72.41,73.71
"3","4","SgatODE",56.01,58.67,58.69,65.97,81.63,89.11,29.2,29.33,29.34
"3","4","SgatSDE",57.15,59.89,59.91,67.34,82.81,89.32,28.85,29.01,29.01
"3","5","SgatTran",47.74,50.03,50.04,51.64,75.63,87.49,48.08,63.86,67.74
"3","5","SgatFormer",57.54,60.01,60.02,63.96,81.6,87.94,61.1,71.13,72.39
"3","5","SgatODE",54.9,57.58,57.59,64.54,80.28,87.89,28.94,29.08,29.09
"3","5","SgatSDE",56.14,58.91,58.93,66.03,81.52,88.12,28.54,28.71,28.71
"5","1","SgatTran",50.74,53.16,53.17,55.8,79.55,92.18,52.06,66.68,70.56
"5","1","SgatFormer",61.87,64.58,64.59,68.84,86.66,92.82,66.15,76.61,77.77
"5","1","SgatODE","-","-","-","-","-","-","-","-","-"
"5","1","SgatSDE","-","-","-","-","-","-","-","-","-"
"5","2","SgatTran",49.89,52.26,52.27,54.75,78.53,90.91,50.93,65.87,69.77
"5","2","SgatFormer",60.57,63.21,63.22,67.64,85.35,91.53,64.87,75.26,76.45
"5","2","SgatODE","-","-","-","-","-","-","-","-","-"
"5","2","SgatSDE","-","-","-","-","-","-","-","-","-"
"5","3","SgatTran",49.15,51.47,51.48,53.99,77.51,89.68,50.15,64.98,68.82
"5","3","SgatFormer",59.34,61.92,61.93,66.48,84.1,90.29,63.68,73.93,75.11
"5","3","SgatODE","-","-","-","-","-","-","-","-","-"
"5","3","SgatSDE","-","-","-","-","-","-","-","-","-"
"5","4","SgatTran",48.46,50.73,50.74,53.31,76.51,88.5,49.48,64.08,67.85
"5","4","SgatFormer",58.2,60.71,60.72,65.37,82.89,89.09,62.55,72.64,73.81
"5","4","SgatODE","-","-","-","-","-","-","-","-","-"
"5","4","SgatSDE","-","-","-","-","-","-","-","-","-"
"5","5","SgatTran",47.78,50.01,50.02,52.65,75.54,87.36,48.84,63.2,66.89
"5","5","SgatFormer",57.14,59.6,59.61,64.33,81.74,87.94,61.5,71.42,72.56
"5","5","SgatODE","-","-","-","-","-","-","-","-","-"
"5","5","SgatSDE","-","-","-","-","-","-","-","-","-"
