"Anticipation Loss","Context Fraction","Method Name","R@10","R@20","R@50","R@10","R@20","R@50","R@10","R@20","R@50"
"1","1","SgatTran",28.97,29.46,29.46,37.74,51.5,56.94,34.19,42.43,43.37
"1","1","SgatFormer",39.22,39.77,39.77,46.26,54.81,57.18,43.7,47.75,47.91
"1","1","SgatODE",43.49,44.5,44.5,52.51,61.64,65.95,24.09,24.2,24.2
"1","1","SgatSDE",43.39,44.39,44.39,52.39,61.43,65.83,24.96,25.06,25.06
"1","2","SgatTran",27.77,28.22,28.22,36.89,50.25,55.53,33.16,41.01,41.88
"1","2","SgatFormer",37.99,38.5,38.5,45.31,53.5,55.79,42.53,46.26,46.4
"1","2","SgatODE",42.56,43.6,43.6,50.82,60.56,65.03,23.76,23.88,23.88
"1","2","SgatSDE",42.52,43.55,43.56,50.75,60.34,64.89,24.51,24.62,24.62
"1","3","SgatTran",26.76,27.18,27.18,36.12,49.23,54.38,32.3,39.83,40.63
"1","3","SgatFormer",36.94,37.43,37.43,44.45,52.42,54.65,41.47,44.93,45.06
"1","3","SgatODE",41.68,42.73,42.74,49.49,59.57,64.19,23.47,23.6,23.6
"1","3","SgatSDE",41.73,42.78,42.78,49.52,59.42,64.05,24.1,24.2,24.2
"1","4","SgatTran",25.93,26.32,26.32,35.44,48.29,53.36,31.56,38.82,39.57
"1","4","SgatFormer",35.99,36.45,36.45,43.63,51.41,53.61,40.43,43.62,43.73
"1","4","SgatODE",40.79,41.85,41.86,48.28,58.6,63.35,23.15,23.29,23.29
"1","4","SgatSDE",41.71,42.78,42.78,48.93,59.32,64.05,24.1,24.21,24.21
"1","5","SgatTran",25.21,25.59,25.59,34.81,47.45,52.43,30.91,37.95,38.66
"1","5","SgatFormer",35.11,35.55,35.55,42.88,50.51,52.69,39.39,42.31,42.41
"1","5","SgatODE",39.95,41.02,41.02,47.18,57.67,62.56,22.83,22.98,22.98
"1","5","SgatSDE",41.7,42.78,42.79,48.77,59.31,64.05,24.11,24.21,24.21
"3","1","SgatTran",26.24,26.75,26.75,39.4,52.5,56.95,36.52,44.32,45.0
"3","1","SgatFormer",39.45,40.0,40.0,46.55,55.03,57.38,44.0,47.82,47.96
"3","1","SgatODE",41.4,42.34,42.34,50.65,60.19,65.5,16.06,16.06,16.06
"3","1","SgatSDE",42.52,43.49,43.5,51.56,60.74,65.24,21.85,21.93,21.93
"3","2","SgatTran",25.51,25.98,25.98,38.66,51.35,55.55,35.68,43.19,43.83
"3","2","SgatFormer",38.23,38.74,38.74,45.45,53.73,56.0,42.82,46.48,46.61
"3","2","SgatODE",40.68,41.64,41.64,49.16,59.16,64.58,16.07,16.08,16.08
"3","2","SgatSDE",41.71,42.7,42.71,50.0,59.66,64.29,21.46,21.54,21.54
"3","3","SgatTran",24.91,25.37,25.37,38.02,50.37,54.42,34.97,42.2,42.8
"3","3","SgatFormer",37.21,37.68,37.69,44.49,52.63,54.86,41.8,45.33,45.45
"3","3","SgatODE",40.0,40.96,40.96,48.03,58.24,63.73,16.13,16.14,16.14
"3","3","SgatSDE",40.99,42.0,42.0,48.87,58.76,63.44,21.12,21.2,21.2
"3","4","SgatTran",24.4,24.84,24.84,37.44,49.48,53.41,34.34,41.32,41.89
"3","4","SgatFormer",36.31,36.76,36.76,43.64,51.66,53.85,40.9,44.3,44.41
"3","4","SgatODE",39.99,40.96,40.96,47.47,58.16,63.72,16.13,16.14,16.14
"3","4","SgatSDE",40.97,42.0,42.0,48.33,58.68,63.44,21.12,21.2,21.2
"3","5","SgatTran",23.94,24.36,24.36,36.88,48.67,52.5,33.76,40.51,41.06
"3","5","SgatFormer",35.5,35.94,35.94,42.87,50.78,52.95,40.08,43.36,43.47
