"Anticipation Loss","Context Fraction","Method Name","R@10","R@20","R@50","R@10","R@20","R@50","R@10","R@20","R@50"
"1","1","SgatTran",22.62,30.0,31.41,17.84,31.26,52.58,17.79,30.45,45.22
"1","1","SgatFormer",30.09,37.97,39.5,27.03,40.1,55.84,27.05,39.02,48.26
"1","1","SgatODE",34.94,41.6,43.74,37.07,48.09,60.17,22.23,23.52,23.64
"1","1","SgatSDE",34.56,41.33,43.5,36.68,47.76,60.04,21.57,22.78,22.86
"1","2","SgatTran",22.28,29.29,30.55,17.7,31.2,51.98,17.6,30.16,44.08
"1","2","SgatFormer",29.61,37.08,38.45,27.01,39.9,55.01,26.99,38.57,46.91
"1","2","SgatODE",34.28,41.04,43.23,35.89,47.15,59.52,22.05,23.38,23.51
"1","2","SgatSDE",33.89,40.82,43.06,35.64,46.84,59.45,21.34,22.56,22.65
"1","3","SgatTran",22.09,28.85,30.0,17.54,31.04,51.39,17.39,29.74,42.96
"1","3","SgatFormer",29.11,36.21,37.45,26.92,39.63,54.24,26.85,38.03,45.57
"1","3","SgatODE",33.68,40.51,42.72,35.14,46.43,58.94,21.84,23.21,23.35
"1","3","SgatSDE",33.36,40.34,42.6,34.93,46.16,58.9,21.12,22.33,22.43
"1","4","SgatTran",21.73,28.28,29.36,17.38,30.84,50.88,17.18,29.31,41.94
"1","4","SgatFormer",28.65,35.43,36.58,26.8,39.32,53.59,26.68,37.44,44.28
"1","4","SgatODE",33.13,39.98,42.21,34.49,45.78,58.38,21.65,23.06,23.22
"1","4","SgatSDE",33.21,40.29,42.6,34.57,45.9,58.81,21.11,22.33,22.43
"1","5","SgatTran",21.33,27.7,28.72,17.23,30.64,50.37,16.99,28.9,41.04
"1","5","SgatFormer",28.24,34.76,35.83,26.66,39.02,52.97,26.47,36.79,43.01
"1","5","SgatODE",32.61,39.47,41.73,33.88,45.17,57.84,21.51,22.96,23.13
"1","5","SgatSDE",33.2,40.3,42.61,34.55,45.89,58.81,21.18,22.41,22.5
"3","1","SgatTran",22.05,29.03,30.41,20.21,33.49,53.53,20.12,32.67,44.97
"3","1","SgatFormer",29.69,37.68,39.22,26.03,38.78,55.51,26.06,38.08,48.49
"3","1","SgatODE",34.07,40.86,43.01,36.38,47.37,60.07,19.48,20.55,20.65
"3","1","SgatSDE",34.12,41.11,43.4,36.37,47.24,59.89,23.52,25.47,25.72
"3","2","SgatTran",22.0,28.63,29.87,20.24,33.5,52.84,20.17,32.56,44.28
"3","2","SgatFormer",29.4,36.94,38.32,25.91,38.57,54.65,25.93,37.74,47.53
"3","2","SgatODE",33.43,40.39,42.6,35.31,46.48,59.5,19.65,20.83,20.95
"3","2","SgatSDE",33.54,40.65,43.02,35.31,46.37,59.26,23.32,25.3,25.56
"3","3","SgatTran",21.84,28.25,29.39,20.17,33.33,52.19,20.08,32.34,43.56
"3","3","SgatFormer",29.01,36.27,37.55,25.7,38.24,53.91,25.73,37.34,46.65
"3","3","SgatODE",32.89,39.9,42.15,34.57,45.81,58.96,19.75,21.01,21.16
